dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,Glove,50,8,0.9331126710308499,0.9521619654904574,0.9331228721936061,0.9350702353004278,0.9350701678365212,0.9332806423006367,0.9358202000641523,0.9477904808289467,0.9387623608788881,0.9331099752121605,0.9386035025576723,0.9332782254623845,0.9376170958780939,0.9376025906717455,0.9367984529400671,0.9431915943288707,0.9350721193092885,0.94482305469366,0.9480618339467203,0.9377697910398236,0.9331122120376333,0.9331128465859878,0.9387596640436459,0.9413726530455315,0.9376159881827962,0.9332740946016033,0.933124664813318,0.9331080919612063,0.935814797884738,0.943352810707068,0.14828,0.139973,0.163124,0.172722,0.195931,0.135201,0.132063,0.216081,0.14489,0.140764,0.146282,0.140455,0.220305,0.156721,0.142286,0.16352,0.13784,0.180741,0.206362,0.146965,0.174788,0.154089,0.147024,0.154754,0.175015,0.146048,0.154249,0.150472,0.1657,0.161307
T100k.D2k.L50.P0.O10.C6.data,Glove,50,8,0.930124052743291,0.9301324555760894,0.953485397728446,0.9301306243703434,0.9391681998344414,0.9470933135518232,0.9280784345425536,0.9280815410217649,0.9280861550395529,0.9358178446517758,0.9408485313933266,0.9381422824656753,0.9398578213633014,0.928085707904213,0.9318137756585037,0.9381479065077699,0.9301274235590291,0.9379012745503513,0.9378926970782796,0.9341259605444059,0.9301343642830764,0.9318151622890873,0.9341151483180149,0.9408642581840904,0.9318155397637928,0.9358169182928491,0.9407361568711556,0.9280849437238617,0.9341215270646319,0.9468520143761472,0.142662,0.168025,0.194757,0.135787,0.150744,0.17297,0.20806,0.161884,0.158911,0.163934,0.168322,0.188051,0.165799,0.150099,0.15345,0.171745,0.149488,0.132685,0.14013,0.143751,0.142461,0.156447,0.156386,0.133106,0.174226,0.162972,0.230739,0.179278,0.170871,0.155169
T100k.D2k.L50.P0.O20.C6.data,Glove,50,8,0.93921661926978,0.9358666610240285,0.9439202708211876,0.9363261892498058,0.9358685431810708,0.9346343946188973,0.9316463110078286,0.9375636876096363,0.9358645030186571,0.9392247743806774,0.9346332092856432,0.9392238616992739,0.9463899193285923,0.9316487301098448,0.9316492421096199,0.9316491307739024,0.9346471074929901,0.9392109160990351,0.930428763143774,0.9346305193838809,0.9288034282176216,0.9316471826198174,0.9375567366215379,0.9536071951098387,0.9287984058757243,0.9287943019148,0.9561158691390282,0.9287975071715572,0.9287968434707954,0.9358647844613632,0.159325,0.158896,0.167899,0.229251,0.152378,0.175972,0.177893,0.165406,0.152988,0.148294,0.163066,0.179622,0.268737,0.19728,0.206784,0.19332,0.136729,0.16641,0.220154,0.177449,0.157315,0.189226,0.162721,0.151348,0.18724,0.16359,0.313552,0.155842,0.182008,0.194521
T100k.D2k.L50.P0.O30.C6.data,Glove,50,8,0.9270565971641772,0.9341070439093389,0.9331534553824813,0.9349020074067077,0.9373536335738433,0.9282519098399816,0.9282572441880131,0.934903600353239,0.9282438853805064,0.9331494380579548,0.9270577808779051,0.935319294200863,0.9331545962236735,0.9411026151927611,0.9292214634922572,0.9348990529365175,0.9331486476263584,0.9373639447004383,0.9398677439687789,0.9282530562598564,0.9453052874922884,0.9282638475109557,0.934897313887144,0.927055929331113,0.9349045864616868,0.9331547787953494,0.9270629321900344,0.9270603336890887,0.9270559663674923,0.927049098873647,0.143527,0.149965,0.147735,0.132688,0.169352,0.13976,0.145154,0.136786,0.128982,0.159094,0.139767,0.15324,0.154146,0.134506,0.132616,0.133684,0.133195,0.151381,0.150803,0.137403,0.182099,0.132579,0.133633,0.13614,0.129642,0.180526,0.133101,0.132418,0.132405,0.132264
T100k.D2k.L50.P10.O0.C6.data,Glove,50,8,0.9418652987712992,0.9283119475794829,0.9283136577871177,0.9331988182111697,0.9283052942451417,0.9371823428672291,0.9283108575066679,0.9334878772197838,0.9283109947935148,0.9319540756026858,0.9374998663836692,0.932561636552159,0.9508568800453469,0.9328836006414726,0.9283031277011414,0.9332007471951673,0.9331949057064025,0.9427902778980541,0.933812725249584,0.9331952679900535,0.9325611385783574,0.9325683968308183,0.9375021334272404,0.9283083499323295,0.932577225609873,0.9283147428299701,0.9337995449048693,0.9325599258553868,0.9325648431131882,0.9334878302056179,0.183097,0.20265,0.182768,0.207474,0.24509,0.203202,0.190911,0.20163,0.156901,0.173756,0.211436,0.208045,0.14588,0.191463,0.203211,0.19948,0.17427,0.302298,0.18454,0.147483,0.192438,0.188981,0.199478,0.159643,0.159,0.232417,0.148747,0.200083,0.201155,0.167463
T100k.D2k.L50.P10.O10.C6.data,Glove,50,8,0.9316264679825539,0.9370278340152253,0.9316484862335401,0.9293719810834186,0.9435439637253399,0.9370312956017256,0.9435355672360575,0.9412547816859826,0.9316255428777392,0.9316472274091248,0.9370421729109132,0.929380225482234,0.9412419434660013,0.9316266147027318,0.9316481968535842,0.9394592856222139,0.9344397313680878,0.9394588443371048,0.9293737585190438,0.9417607303261617,0.9435440239287471,0.9422964728768594,0.9446367185549656,0.9316302130855202,0.93944082105204,0.9394520070850376,0.939452138376791,0.9293684969857872,0.9494552114662632,0.9394512731573976,0.174428,0.134197,0.162635,0.220134,0.137257,0.171044,0.153166,0.131421,0.148313,0.150287,0.136862,0.164885,0.140432,0.147952,0.155805,0.159429,0.177155,0.169378,0.192561,0.150033,0.174964,0.164034,0.14004,0.16685,0.151837,0.161038,0.157398,0.166424,0.157779,0.150679
T100k.D2k.L50.P10.O20.C6.data,Glove,50,8,0.9372007235122968,0.9478797479015759,0.9372005256709295,0.9401090667385078,0.93780945375506,0.9362381001200168,0.9379013824132167,0.9362391020392026,0.9391546542387647,0.9401286531821758,0.9363337628715502,0.947710087151721,0.9349915294894479,0.939153265903149,0.9401228185615884,0.9362392829048353,0.9477214436585241,0.9401107886978418,0.9372970652587674,0.9349997491949043,0.9372963150832796,0.9401178965204,0.9350010854486817,0.9363258288907877,0.9372034860069836,0.9401209654688855,0.9372023468028655,0.9391611772370733,0.9362436215328939,0.9372959523870265,0.170414,0.142079,0.150278,0.146296,0.152611,0.149677,0.146752,0.160328,0.156655,0.140768,0.165485,0.14394,0.184796,0.175725,0.144261,0.157115,0.180358,0.156247,0.151503,0.138552,0.189709,0.148824,0.166965,0.241095,0.149945,0.167325,0.159305,0.132182,0.150144,0.187329
T100k.D2k.L50.P10.O30.C6.data,Glove,50,8,0.9454688398870681,0.9439346462191329,0.9435023864765224,0.9313363493585048,0.935357459056956,0.9313372678353752,0.9311986807943556,0.9322616758203787,0.9344201858188343,0.9353547088057714,0.935492289014617,0.9425554126968736,0.9344201050320835,0.9403676433185306,0.932263803714905,0.9313284489468325,0.9313311936417655,0.9424112581890695,0.9311993051005841,0.9313351953795183,0.9456336315904941,0.9344200800436537,0.9402230344159938,0.9313342240503533,0.9456530073331688,0.931322678526385,0.943504008582577,0.9425354068738357,0.9439347957210074,0.9354789239857942,0.208853,0.217575,0.125848,0.132742,0.127535,0.139416,0.14379,0.126586,0.132423,0.139115,0.151292,0.115109,0.144456,0.125439,0.134904,0.128912,0.163591,0.12529,0.125637,0.169302,0.152165,0.177139,0.132582,0.1528,0.146988,0.133027,0.145409,0.129705,0.177536,0.126271
T100k.D2k.L50.P20.O0.C6.data,Glove,50,8,0.9360787795466261,0.9254091451792099,0.9360297916832698,0.9340961290876417,0.9325624488811983,0.937844755810364,0.9451822918946255,0.9374715815893596,0.9254170465871931,0.9254110926688275,0.9378437447362304,0.9325528344892814,0.9254105852227024,0.9439089670642085,0.9292168277889878,0.9292163210572107,0.9378440335752543,0.9451835708551609,0.9340992783480006,0.9325636360929306,0.9329218495840818,0.9360261244634174,0.9413755218331268,0.9325670687951897,0.9292163416266707,0.9340985865066314,0.937470874390378,0.9254099735610363,0.9329322226135002,0.9325676274803009,0.278596,0.179053,0.26203,0.149182,0.143367,0.169459,0.143746,0.155277,0.151678,0.1575,0.173472,0.138419,0.151777,0.138636,0.158181,0.146795,0.154773,0.132663,0.214235,0.142735,0.147699,0.154906,0.157627,0.148925,0.157945,0.171,0.176256,0.149202,0.136919,0.132114
T100k.D2k.L50.P20.O10.C6.data,Glove,50,8,0.9336571853095268,0.9350409055291198,0.9260563755994398,0.9320618857913346,0.943945978875978,0.9365566842909968,0.9388467110002494,0.9332715274449875,0.9404791758433843,0.9260537773580063,0.932060631400633,0.9559902726943117,0.9400348159724616,0.9350331698315697,0.9439453479473978,0.9336708194197214,0.9260561741922811,0.9559942637138551,0.9365678757906227,0.9466681479490148,0.9260628439902389,0.9320501943001465,0.9320598858129646,0.9297939693815676,0.9350326569935387,0.9388471680592569,0.9400361739829712,0.9320458507363029,0.9336725723338762,0.9350401115502317,0.152264,0.294571,0.253022,0.150717,0.200309,0.198936,0.177236,0.148306,0.186313,0.158533,0.164211,0.130734,0.180009,0.215868,0.154811,0.138142,0.177053,0.135414,0.160625,0.196084,0.203358,0.158584,0.156621,0.145684,0.215518,0.145699,0.165835,0.152749,0.146858,0.282113
T100k.D2k.L50.P20.O20.C6.data,Glove,50,8,0.9259794338836917,0.9456561809928042,0.928982436114738,0.9280679771128072,0.9241863276394545,0.9280685375467509,0.9269427745208279,0.9241859282624697,0.9426663072894027,0.9308483050862217,0.9289824244131573,0.9289839288867404,0.9241856360399087,0.9437291293936767,0.9241845668546611,0.9280678665358966,0.9269449773949657,0.9241861129899639,0.9289839098079541,0.9280693071320739,0.9259774241817531,0.9259772691898719,0.9289822816036358,0.9280683635602834,0.9241855074010363,0.9460976549146005,0.9289834567814711,0.9259753500632739,0.9289834220138791,0.9280675686969163,0.172722,0.180294,0.144995,0.151338,0.136094,0.151147,0.142184,0.125392,0.287978,0.140335,0.129939,0.170693,0.139001,0.13819,0.168298,0.170239,0.156003,0.133226,0.149211,0.13856,0.132226,0.144764,0.169473,0.135678,0.176115,0.22444,0.134668,0.148538,0.142042,0.174023
T100k.D2k.L50.P20.O30.C6.data,Glove,50,8,0.9367122596512971,0.9385926327849852,0.9410806000478351,0.9354274549038007,0.9354303029932549,0.9374203035336811,0.9412629108964394,0.930597904758394,0.9330944136561397,0.934936008802784,0.9391140952415933,0.9390796159220899,0.9390954797929372,0.941284053034835,0.9349224481358716,0.9330983156916822,0.9416504580575275,0.9416497621906046,0.9305957358736793,0.9305555237110539,0.93055275853488,0.9349264094337566,0.9349253335184455,0.9349348980315142,0.9416535499300942,0.934936008802784,0.9390789058947671,0.9354291167164338,0.9331003672395116,0.9305962037811452,0.135469,0.134643,0.138523,0.12846,0.128548,0.130928,0.2711,0.13262,0.132979,0.177866,0.128267,0.223117,0.171206,0.159241,0.146437,0.144584,0.165124,0.132128,0.144634,0.142891,0.136992,0.148691,0.169225,0.137043,0.126705,0.174835,0.142691,0.138039,0.136586,0.13537
T100k.D2k.L50.P30.O0.C6.data,Glove,50,8,0.9363740963204413,0.9369690561430236,0.941877013321068,0.9451022757905283,0.9401519995839315,0.9439709730236707,0.9369673816737768,0.9369661186280069,0.9412781172223,0.9401570509604832,0.9374779718951649,0.9374830527652943,0.9389743212838108,0.9343053368842119,0.93807013478334,0.9401546187885303,0.9363750555049928,0.9380812295507639,0.9357937535503134,0.9352005761994605,0.9369677644654452,0.938071764372083,0.9466847516281,0.9439735794401702,0.9352033892966448,0.9369694577601642,0.936963099481911,0.941880245021359,0.9352004599779765,0.9476931093631058,0.159615,0.162659,0.165871,0.17824,0.152418,0.167817,0.167535,0.154543,0.185965,0.162089,0.167825,0.166603,0.154388,0.159193,0.166693,0.161181,0.234833,0.157585,0.161626,0.153915,0.176417,0.185868,0.160174,0.167619,0.1714,0.147657,0.157791,0.159706,0.178969,0.232496
T100k.D2k.L50.P30.O10.C6.data,Glove,50,8,0.9437713743182957,0.9347934917866587,0.9555448564534116,0.9315157991638867,0.9373370610393031,0.9447573423500607,0.9447565232800782,0.9381102991282078,0.9315157535670403,0.9350244663857785,0.9447578697280972,0.9371006899383969,0.9350247910663568,0.934788181535756,0.9347960188585904,0.9381114824037023,0.9388560988287422,0.9350241482109483,0.9373377842244758,0.938112114430187,0.9315162371993815,0.9371036676703209,0.9371060792568615,0.9350237013595314,0.9315158115196769,0.9447449570710464,0.9424138227136891,0.9347876525276141,0.931521922568171,0.9424088561301794,0.138258,0.14941,0.213079,0.140769,0.134051,0.139884,0.133636,0.138772,0.151307,0.141635,0.14805,0.130906,0.13415,0.169813,0.146152,0.139952,0.134701,0.130241,0.153465,0.13196,0.160039,0.144266,0.131859,0.160808,0.148177,0.288562,0.129494,0.147471,0.145115,0.135993
T100k.D2k.L50.P30.O20.C6.data,Glove,50,8,0.9338968607410223,0.9349621030946619,0.9366194258211056,0.9338922684695126,0.939199852607483,0.9338982618332243,0.9390013003955153,0.9482131446910832,0.9434327354829611,0.9338968844491393,0.9338922126823347,0.9349657290720773,0.9434426633593956,0.9389988663707641,0.9434399740407005,0.9434446803270268,0.9349655008543641,0.938998416217954,0.9538379604086945,0.9338939263965004,0.9366240403314569,0.941597070711844,0.9381197634778669,0.9381214671213756,0.9400802612937452,0.9366222728454486,0.9400786829804866,0.9390028992600408,0.9419722892216406,0.9443829401622749,0.12683,0.136218,0.131973,0.134199,0.144328,0.129402,0.142295,0.126486,0.132681,0.133588,0.132967,0.132908,0.150418,0.134556,0.121468,0.128531,0.136177,0.128829,0.132695,0.132766,0.142007,0.134538,0.141071,0.133268,0.13423,0.122304,0.136793,0.129169,0.128498,0.159765
T100k.D2k.L50.P30.O30.C6.data,Glove,50,8,0.9269217420943063,0.9527879404066489,0.9296435079210111,0.9189398449367507,0.9354520433170047,0.9295091435814032,0.9189336043719902,0.9269111146206568,0.9269179764876999,0.9328304101528697,0.9269142154742093,0.9355998805712773,0.9354562520236694,0.9328248902924811,0.9414712234886217,0.9299000575276348,0.9354564640425367,0.9354529097652504,0.9269107882813116,0.9295048029877382,0.9354544640154664,0.9189388465207305,0.9299000575276349,0.9438530995683119,0.9269180419373718,0.9295092711821297,0.943723950671597,0.9269211706400967,0.9189361348569614,0.9437233530474627,0.138365,0.139603,0.167673,0.162023,0.144545,0.144246,0.151863,0.14258,0.157417,0.140592,0.140573,0.141775,0.149305,0.144838,0.154396,0.18414,0.157911,0.146491,0.155702,0.147193,0.148333,0.151772,0.18538,0.142087,0.134443,0.14746,0.141323,0.174794,0.138006,0.13992
