dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,w2v,50,8,0.9330946374545037,0.9448323140721101,0.943325321477975,0.9357987089358804,0.9350455143050791,0.9476767387066477,0.9350495491370555,0.9433211155699578,0.9350474367511631,0.9375889444288817,0.9375850834807762,0.9358186767618637,0.9368081606781097,0.9387590154639714,0.9413245318540729,0.9350556722788744,0.9332820969904787,0.9448612212463551,0.9330990510939208,0.9377584829588886,0.9377600742567469,0.935805446846972,0.9332763230174005,0.9377709765964524,0.9431447022753284,0.9332754551158682,0.9332786499440556,0.9413192441688707,0.9358076699848656,0.9332762460635444,0.150858,0.173973,0.147025,0.152383,0.172718,0.176615,0.157177,0.161575,0.154418,0.15003,0.152152,0.154444,0.146176,0.15437,0.157646,0.147061,0.156624,0.160675,0.174953,0.155655,0.152895,0.140201,0.159333,0.151005,0.147466,0.1638,0.155916,0.144787,0.162322,0.151031
T100k.D2k.L50.P0.O10.C6.data,w2v,50,8,0.9378856206957539,0.9378847248622303,0.9317854867411348,0.9381113255904098,0.9378855650726888,0.9340843222714684,0.9300852877764504,0.9340842374700069,0.9300826111391365,0.9378855650726888,0.940869074243023,0.9280332421550853,0.9358015087067147,0.9358024396985983,0.9300820065932963,0.9317861806190482,0.9408971340962247,0.9280338956434476,0.9280348238705287,0.9340849749897474,0.9419460001979032,0.9378851435989399,0.9470889323208593,0.9300828204189447,0.9280330403590834,0.9317864832243059,0.9280346790853412,0.9280331581662669,0.9280344226376354,0.9398428732809516,0.168666,0.16781,0.167107,0.17286,0.161709,0.17082,0.15267,0.161612,0.158833,0.160633,0.15767,0.172816,0.171069,0.166664,0.164999,0.163568,0.160313,0.159887,0.16335,0.164106,0.1608,0.165639,0.178884,0.175498,0.169951,0.167956,0.167602,0.177253,0.164322,0.161484
T100k.D2k.L50.P0.O20.C6.data,w2v,50,8,0.935861082046131,0.9375067468078232,0.9346054054713216,0.9435061434157713,0.946387787824841,0.9303839165909225,0.928763831439864,0.9287654698952369,0.9430358897506224,0.943733452008296,0.9435058998822815,0.9437357847224129,0.9303954791851424,0.9316355061749851,0.9375060052520302,0.937555533285147,0.9303943339283087,0.9418170867194019,0.9287665123424406,0.9375116854018373,0.931633804817592,0.9392147941550196,0.9346071228999814,0.9375526246394931,0.9375144217252563,0.931637357899375,0.9346038354420996,0.9287699779677078,0.9346038118007282,0.9346063196072548,0.178403,0.178068,0.168226,0.168417,0.220842,0.178855,0.174715,0.17782,0.174588,0.190007,0.174384,0.1986,0.17778,0.178548,0.171797,0.176626,0.18155,0.25442,0.173808,0.168032,0.167185,0.165277,0.177608,0.175975,0.184986,0.174958,0.190089,0.164157,0.183131,0.175697
T100k.D2k.L50.P0.O30.C6.data,w2v,50,8,0.9410928138032022,0.9282369429865579,0.9453246781940219,0.9270338981529674,0.9282394495479832,0.9291888662748515,0.9348926844395987,0.9291916416461502,0.93408732033107,0.937541590213406,0.9353204057888095,0.9488818607081764,0.9331280475868545,0.9282384922483292,0.9291913518024095,0.9331278822134477,0.9340884487282306,0.941088081932487,0.9291912020008977,0.9398488334222956,0.9291922719888678,0.9282380905728902,0.9420665083511275,0.9331289600243966,0.9270310350901859,0.9420662488353255,0.927032639148692,0.9291919215520669,0.9340904225698161,0.9373904306790406,0.141731,0.150888,0.14816,0.149362,0.155261,0.150843,0.147935,0.148191,0.154839,0.1777,0.139756,0.153385,0.161331,0.1415,0.148926,0.141716,0.149114,0.150783,0.15518,0.151877,0.14493,0.14478,0.146424,0.145135,0.152781,0.163458,0.144827,0.148726,0.14637,0.160107
T100k.D2k.L50.P10.O0.C6.data,w2v,50,8,0.9325053497501677,0.9384563011543571,0.9371638147178623,0.9328574716576151,0.9428182502929645,0.9451302691512615,0.932859004169357,0.9334584634517801,0.9328733434870593,0.9384395699484006,0.9384555438055926,0.9384503932749547,0.9371549834694229,0.9337717306789829,0.9328670897485467,0.9282479497272726,0.931907105251035,0.9328663695654034,0.9374725760035547,0.9508559076776751,0.9318973372033578,0.933460227202609,0.9337902938768591,0.933789244085369,0.9328651279382073,0.9319106442148465,0.9334596922478475,0.9328675035994777,0.9334736687847976,0.9334589419878935,0.151723,0.156062,0.157156,0.161213,0.192947,0.165182,0.157228,0.160044,0.156806,0.160581,0.155155,0.160492,0.154503,0.157657,0.171349,0.158302,0.153606,0.160049,0.154031,0.161796,0.157618,0.154174,0.158114,0.152696,0.162599,0.170209,0.160261,0.155938,0.157319,0.163228
T100k.D2k.L50.P10.O10.C6.data,w2v,50,8,0.9293272402564553,0.9315952743502789,0.9394397381006289,0.929331109287071,0.9434976359514641,0.929325854603332,0.9315991307088326,0.9333751975377785,0.9435772870708184,0.9316008597933682,0.9333745253479887,0.9293222539291599,0.9316005239121968,0.9369522680065627,0.9464185866914617,0.9411726190506867,0.9445768111092028,0.9293208854719474,0.9293284690456012,0.9333708253861901,0.9411727369011158,0.9494274794131654,0.9316006515196905,0.9344317488897581,0.941174686851524,0.9394535057316251,0.9333735514063695,0.9316807423334386,0.9422530509788506,0.9532307100654865,0.160874,0.149047,0.149985,0.152569,0.149678,0.155821,0.150159,0.151323,0.155325,0.148956,0.145182,0.149053,0.155679,0.302287,0.139403,0.14709,0.142771,0.138921,0.158983,0.163018,0.144015,0.203355,0.148187,0.149096,0.165409,0.146076,0.144165,0.150059,0.155801,0.181835
T100k.D2k.L50.P10.O20.C6.data,w2v,50,8,0.9362388519169464,0.937212673520849,0.9445442786501669,0.934987662986248,0.9439334188305099,0.9363253509511185,0.93854009193256,0.9349933153727673,0.9498911915459034,0.9378834017602644,0.937203010008694,0.9363262492809205,0.9363255652310857,0.9371987700149248,0.9371995862756206,0.9362403174561675,0.9362451333452504,0.9372080559999625,0.9362429494489878,0.9372101506351362,0.9429714200412085,0.9349934621753606,0.936328640788738,0.9416933946511225,0.9416040983995301,0.938542043915721,0.9416950646995099,0.9391255942209279,0.9372016823304135,0.9349943659237429,0.162772,0.157545,0.16146,0.157493,0.165065,0.153173,0.155901,0.158627,0.184512,0.159282,0.155883,0.155505,0.155361,0.156172,0.160772,0.158297,0.166429,0.166059,0.165326,0.158353,0.15133,0.15795,0.154966,0.157927,0.154945,0.1629,0.148485,0.155671,0.157645,0.171436
T100k.D2k.L50.P10.O30.C6.data,w2v,50,8,0.9354101096320889,0.9312389239268174,0.9322322403465274,0.9425192757991787,0.9354107417740605,0.931235645258525,0.9312948875898461,0.9434397429015463,0.931291194023502,0.9312679230355121,0.9425195276795896,0.9312395586479263,0.9322287574821952,0.9312420042349895,0.9312825766253098,0.9455953470058149,0.9415566328625012,0.9344693686735919,0.9312431885639846,0.9353610536888034,0.9434569363690073,0.9322303262158183,0.9322307182668509,0.9313050001990313,0.9344774932655204,0.9393358040641914,0.9425171345113657,0.9312531990784885,0.9322298235868781,0.9353630089615124,0.153395,0.138612,0.156143,0.144584,0.145129,0.135343,0.142444,0.134608,0.136142,0.145077,0.136612,0.136159,0.145109,0.135718,0.145279,0.183509,0.135636,0.136594,0.14171,0.143823,0.141742,0.13899,0.141608,0.142721,0.1362,0.142666,0.138734,0.139225,0.141657,0.138023
T100k.D2k.L50.P20.O0.C6.data,w2v,50,8,0.9421885816555053,0.9333763873933012,0.9422115400786141,0.9414919078527225,0.9253701046803626,0.9326375491700738,0.9326868439149254,0.9420434688855261,0.9290481768192275,0.9384288350450521,0.9370290703168357,0.9422786089469726,0.9326478679183404,0.9370260721950728,0.93403393116508,0.9496625953489507,0.9420362638298899,0.9340492078788508,0.9326352999593206,0.949684021776644,0.9253678426956556,0.9358942728499301,0.9340387654073563,0.9421905723018961,0.9340349940311917,0.9290551248327388,0.9384094071903466,0.9326881959374169,0.9384303512598952,0.9340494178654335,0.163913,0.16226,0.148187,0.198945,0.157791,0.161784,0.17529,0.152114,0.163988,0.162078,0.146858,0.156184,0.176348,0.152465,0.153668,0.149387,0.147672,0.147971,0.178312,0.254641,0.158761,0.175492,0.144423,0.166816,0.157542,0.141571,0.184493,0.177612,0.165735,0.14748
T100k.D2k.L50.P20.O10.C6.data,w2v,50,8,0.930488344389947,0.9332253444918479,0.9478699689919389,0.9349753496649482,0.9259754377796441,0.9349790308878435,0.9320595010263727,0.9466519797068869,0.9466710662680758,0.9349753496649482,0.9403866072908219,0.9349793045295994,0.9400130369548787,0.9259705054863593,0.9259671478582981,0.9462686074469779,0.9387945310039221,0.9387974591742193,0.93714923917879,0.9332409147747586,0.9388229535359608,0.952202512869553,0.9303935171663696,0.9350593341883618,0.9371526142922342,0.9580025218692452,0.9478707599177628,0.947869018678273,0.9304164152591959,0.945102698998047,0.147268,0.151746,0.166761,0.289392,0.150543,0.196633,0.150006,0.161076,0.155805,0.348857,0.172426,0.23602,0.151996,0.140548,0.148126,0.157034,0.138891,0.160077,0.179469,0.151154,0.151258,0.160818,0.141941,0.157396,0.154246,0.151402,0.200072,0.155074,0.168723,0.190999
