dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,Glove,50,16,0.789767964205702,0.7993577228397264,0.788016758762736,0.8084747272865779,0.7966644370132953,0.8003114496217958,0.7867656294748648,0.7958901920976553,0.7882474444917182,0.7922112453046676,0.7916075533231763,0.7980294054175727,0.7952678794009591,0.7877307501089383,0.7903689922409702,0.7984385376215783,0.7908879792151888,0.7900547133235333,0.8017498663434615,0.8009152322693771,0.7846456443818935,0.798035526884956,0.7943651862960575,0.7913325330046365,0.7892097532935585,0.7875165355069794,0.7921782196603294,0.7868630858444408,0.7889298971803623,0.7933829098017676,0.41988,0.537208,0.474176,0.405959,0.442172,0.404956,0.292146,0.507633,0.319248,0.340286,0.320247,0.295917,0.389751,0.51106,0.324945,0.446741,0.538728,0.633993,0.577785,0.448439,0.427559,0.453584,0.288715,0.408708,0.392486,0.420655,0.282477,0.307766,0.366807,0.417083
T100k.D2k.L50.P0.O10.C6.data,Glove,50,16,0.7901942852688295,0.7819281833880621,0.7903693014410885,0.8053853300057521,0.7919441612326842,0.7875148447032118,0.7956618727858437,0.7841998019636233,0.7940867742581502,0.7945041728778547,0.8055081243127271,0.7851607967798361,0.7977922233500452,0.7961078602745382,0.7931317471908245,0.7867480755297462,0.7938934533588213,0.7938452668456055,0.7946727021341186,0.7950158481590144,0.8096464757896146,0.792830862582778,0.7956943105182419,0.7897144426942723,0.790427967042415,0.7864680693444873,0.7950236293616008,0.7908366204490118,0.7868912843202757,0.7966975282531377,0.357664,0.361929,0.350725,0.479696,0.273831,0.511774,0.593503,0.407733,0.479627,0.330641,0.373034,0.550687,0.723259,0.525107,0.417389,0.786278,0.416799,0.46924,0.312735,0.355899,0.58405,0.484736,0.455628,0.25664,0.327652,0.578933,0.598719,0.592134,0.309477,0.649696
T100k.D2k.L50.P0.O20.C6.data,Glove,50,16,0.7866507945963257,0.7982426211989243,0.7836966712784927,0.78565147604055,0.786831540551133,0.7914362727378575,0.7867205376077693,0.7953595573630821,0.785470208352668,0.7837044515537627,0.8130952994007749,0.7880082691847591,0.7856456573443686,0.7845635148916567,0.7880633910680839,0.7919788185516645,0.7956832197887422,0.7880564201271585,0.78705260108029,0.7907130876705828,0.7949401317805977,0.7873283632876978,0.7820017910051253,0.7869763872594325,0.789058608040087,0.7970467603270538,0.7949474082781448,0.7868731361064526,0.7868026037260786,0.7840567862899124,0.437985,0.74557,0.491022,0.666118,0.591498,0.616515,0.616152,0.463662,0.396856,0.789643,0.589133,0.310839,0.459759,0.823832,0.561711,0.592273,0.420408,0.475275,0.825552,0.633311,0.361449,0.567348,0.373941,0.456088,0.638913,0.603146,0.386638,0.532409,0.685414,0.348026
T100k.D2k.L50.P0.O30.C6.data,Glove,50,16,0.7865621791871863,0.7904532611483769,0.784908575725556,0.7861132397489166,0.7854932630046632,0.78201547915239,0.7932729175579819,0.7847960333502306,0.7858433483099753,0.7878674437728166,0.7827104738129751,0.7838879765282339,0.7963196843439522,0.7858196818707268,0.7843398340374661,0.786036550001076,0.7934358103347042,0.7863843565032124,0.7860675167687251,0.7949563019610291,0.7963171674174255,0.7881550204269318,0.7799221880566173,0.7984630297896418,0.7861536781334412,0.7884421841936528,0.784504934336718,0.7949252651298075,0.7973219480172106,0.80241005641293,0.387468,0.470406,0.432447,0.33921,0.427527,0.454301,0.522468,0.46324,0.42163,0.421488,0.564739,0.484908,0.326628,0.644412,0.393751,0.407416,0.361814,0.457379,0.31883,0.532793,0.331435,0.372404,0.400173,0.385041,0.325616,0.278653,0.359443,0.338549,0.459477,0.344284
T100k.D2k.L50.P10.O0.C6.data,Glove,50,16,0.7954241048828706,0.7834183729709471,0.7999472967098339,0.7829402057975877,0.7832065358188977,0.7855202243724247,0.8066018556527264,0.7990721624494009,0.7960826667319016,0.7882196501923099,0.788120876905393,0.7811464247830213,0.8032199196847594,0.7852991119493198,0.7837125253139561,0.8011831866614043,0.7890527554994644,0.7834505663117494,0.784387753803462,0.7985548773353895,0.7812693532932046,0.7925995259436787,0.7829323369090644,0.7834137425798499,0.7837306716940229,0.7975970027337337,0.7834301736845244,0.7855174359174039,0.7890001182405318,0.7850424220561804,0.346042,0.587733,0.568219,0.302694,0.320419,0.334444,0.405488,0.421947,0.299606,0.500147,0.680972,0.442853,0.546795,0.468859,0.561663,0.308851,0.60584,0.522228,0.508089,0.450148,0.63612,0.487705,0.47488,0.591782,0.553748,0.470551,0.44411,0.297892,0.585054,0.232962
T100k.D2k.L50.P10.O10.C6.data,Glove,50,16,0.7942286443686225,0.803806563543379,0.8017546419778522,0.7959147257491651,0.7978674826300131,0.7882661291614408,0.7882652816383149,0.785591658503271,0.7938180669539341,0.7973044392291548,0.7952847759164526,0.7909896323362678,0.787108422572158,0.7969892732942772,0.7870860336442638,0.793680458792928,0.7873724987101637,0.7854234237831217,0.789162685620204,0.7852371494702235,0.7933843557150502,0.7993181569972828,0.7957018708435203,0.7846196433201326,0.7995378935106069,0.7960412467056798,0.7891072942799677,0.7941132251349108,0.7940447416037224,0.7876772221498416,0.284634,0.362066,0.418248,0.416117,0.44484,0.269315,0.296626,0.224851,0.575844,0.259988,0.531246,0.620389,0.307621,0.542774,0.534058,0.58447,0.614157,0.271681,0.576865,0.295524,0.274011,0.355213,0.408994,0.555395,0.34932,0.40236,0.472173,0.494434,0.382391,0.314671
T100k.D2k.L50.P10.O20.C6.data,Glove,50,16,0.802091995922128,0.7892482893605598,0.803209038299406,0.7859629185889976,0.8000593542616924,0.7984717170993068,0.8043173595171209,0.7995939967331538,0.8016281562421232,0.8043658622816011,0.7988669442101967,0.7940004286443939,0.7895729442473728,0.7895961135139903,0.7956991840726855,0.8005014034672454,0.7893561377393863,0.7998177835446743,0.8049727561732741,0.8077426745778882,0.7899624868642566,0.8006026699277013,0.7891429583597889,0.8020985816544464,0.7911098583694646,0.7900968518106933,0.7929458202558421,0.7956108591762371,0.7953095905839095,0.8007061313866431,0.444013,0.507797,0.490613,0.467645,0.795711,0.364083,0.473638,0.525832,0.519385,0.664008,0.774957,0.528363,0.46044,0.3339,0.451009,0.444062,0.41408,0.592921,0.47333,0.568122,0.479554,0.427601,0.465319,0.418836,0.545985,0.388222,0.439456,0.498531,0.515,0.456107
T100k.D2k.L50.P10.O30.C6.data,Glove,50,16,0.7965916443785853,0.7886170575005996,0.7950228876397453,0.7843205530845145,0.7869478385290064,0.7973793953306594,0.791022900859354,0.7886015290050593,0.791991218998335,0.7901564783305226,0.7926758498699864,0.7850499429755023,0.7916206709579336,0.7900723939498747,0.7903350726168545,0.7933555796535376,0.7873350654122733,0.7824759794985072,0.7884258770831146,0.7967569905851016,0.8014031084616285,0.7860786555499317,0.8004228635174069,0.7924036260641814,0.7887782743335843,0.7897331263791985,0.7973575679436273,0.7843386557868476,0.7916487885271216,0.7850899966104943,0.507926,0.443594,0.402584,0.425096,0.362408,0.283879,0.375383,0.386325,0.310008,0.299102,0.327363,0.219027,0.50603,0.411416,0.338609,0.324991,0.313793,0.432432,0.377558,0.301346,0.288913,0.536121,0.437795,0.281001,0.282259,0.45631,0.484176,0.307701,0.47573,0.250133
T100k.D2k.L50.P20.O0.C6.data,Glove,50,16,0.7897831788242642,0.7846120144759084,0.7849116106663873,0.7911615638542823,0.7865278457850595,0.800824146623716,0.7938524026152481,0.7896798781826618,0.794940241505812,0.7900006617204675,0.7882118083661274,0.8172547049537527,0.7955964766548275,0.7986869081799458,0.7924798838997632,0.786521852603688,0.7911480066170048,0.8027599417004556,0.7819798877625286,0.785661139186582,0.7836281404649527,0.7863982497484556,0.7837425980218071,0.793146432514385,0.7908883291793529,0.8095839909259577,0.7890786743901851,0.7891042964858694,0.7926193577635361,0.7881992335170805,0.278266,0.439683,0.326074,0.417331,0.707308,0.470518,0.512656,0.306606,0.816828,0.353024,0.586458,0.746695,0.467122,0.370011,0.405341,0.356112,0.241033,0.457751,0.366671,0.304359,0.604419,0.458134,0.307903,0.279948,0.616709,0.381831,0.346115,0.69961,0.528942,0.261608
T100k.D2k.L50.P20.O10.C6.data,Glove,50,16,0.7963052838125444,0.7935805852559401,0.7947307754179744,0.7935919458779903,0.7909975224675926,0.793426765366854,0.7938339311160344,0.7841552921811819,0.8048623368929508,0.7920520183254379,0.8064813061488864,0.7876355378203997,0.7822205558693859,0.7942161392627958,0.7860682253242045,0.8062026568388169,0.7849969784566307,0.801897766099793,0.7901800772016541,0.7930617655875888,0.7855161191162341,0.7855654078253492,0.7834446180445768,0.7901145409011606,0.7863550818016554,0.7831834712421312,0.7833930264515385,0.7920369831718584,0.7919369119599623,0.7927829048269616,0.551093,0.328035,0.583529,0.412839,0.50366,0.438373,0.39233,0.821201,0.407986,0.431853,0.317296,0.423911,0.390801,0.37612,0.469829,0.379123,0.518554,0.509285,0.352338,0.363776,0.390815,0.525645,0.491443,0.425679,0.283527,0.352631,0.656974,0.445581,0.357895,0.34274
