dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,w2v,100,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.170495,0.170135,0.169921,0.170841,0.169686,0.17093,0.169985,0.169778,0.171072,0.16981,0.170988,0.170632,0.169781,0.171084,0.16999,0.171102,0.170659,0.170848,0.169879,0.171126,0.170064,0.170602,0.169932,0.169859,0.170049,0.170729,0.170718,0.175846,0.169752,0.171152
T100k.D2k.L50.P0.O10.C6.data,w2v,100,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.179108,0.180692,0.17979,0.179024,0.179875,0.179201,0.179573,0.179452,0.180578,0.179603,0.180571,0.179226,0.178815,0.180617,0.180516,0.179202,0.180103,0.17896,0.179891,0.179662,0.180357,0.17954,0.178972,0.180198,0.179171,0.179046,0.17959,0.179995,0.179877,0.181333
T100k.D2k.L50.P0.O20.C6.data,w2v,100,6,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.901338609964316,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,0.19025,0.190037,0.189599,0.190453,0.190647,0.191655,0.189798,0.190339,0.190082,0.189953,0.191332,0.190103,0.228926,0.190349,0.191698,0.191413,0.190167,0.191011,0.190206,0.191018,0.189795,0.190121,0.192196,0.190224,0.190598,0.190139,0.190354,0.190307,0.189812,0.190644
T100k.D2k.L50.P0.O30.C6.data,w2v,100,6,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9089324842169851,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,0.175447,0.174727,0.174691,0.173953,0.173823,0.173488,0.174534,0.173846,0.174117,0.174735,0.174574,0.173245,0.173455,0.174189,0.173795,0.173372,0.173555,0.174184,0.173378,0.173296,0.218224,0.173953,0.173705,0.17465,0.173073,0.173866,0.17476,0.173437,0.173097,0.173573
T100k.D2k.L50.P10.O0.C6.data,w2v,100,6,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.9999434801742294,0.184839,0.185157,0.185204,0.184728,0.184817,0.185115,0.183966,0.184749,0.18459,0.184042,0.184034,0.185252,0.184362,0.183217,0.186031,0.184738,0.185954,0.184251,0.184394,0.186039,0.185576,0.185836,0.183326,0.18552,0.184428,0.183869,0.184487,0.185371,0.185205,0.184789
T100k.D2k.L50.P10.O10.C6.data,w2v,100,6,1.0,1.0,1.0,1.0,1.0,1.0,0.9076586568203956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8907103839047686,1.0,1.0,0.174546,0.174902,0.174607,0.17506,0.174522,0.174583,0.209252,0.175243,0.175231,0.175111,0.175056,0.174867,0.179796,0.173722,0.17491,0.174945,0.174392,0.174341,0.174171,0.175312,0.174279,0.174549,0.174198,0.174128,0.174704,0.174844,0.174385,0.195067,0.175056,0.174717
T100k.D2k.L50.P10.O20.C6.data,w2v,100,6,1.0,1.0000000000000002,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.9036464702533292,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0,1.0,0.9042750046870984,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,0.9026267820542607,1.0,1.0,1.0,0.187608,0.188459,0.189712,0.188203,0.189249,0.189569,0.189328,0.187378,0.189882,0.189301,0.188982,0.187775,0.233922,0.188058,0.189026,0.189284,0.188885,0.189089,0.188661,0.230417,0.192946,0.188304,0.188488,0.189295,0.189298,0.189221,0.220584,0.188278,0.189102,0.189318
T100k.D2k.L50.P10.O30.C6.data,w2v,100,6,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108341,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108342,0.9999359264108345,0.9999359264108345,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108343,0.9999359264108345,0.9999359264108342,0.9999359264108343,0.9999359264108346,0.9999359264108343,0.9999359264108345,0.9999359264108343,0.9999359264108342,0.9999359264108343,0.9999359264108345,0.9999359264108345,0.9999359264108345,0.9999359264108346,0.9999359264108345,0.16542,0.165398,0.164568,0.170591,0.16565,0.165561,0.165817,0.165443,0.165515,0.165435,0.165957,0.166317,0.164379,0.165778,0.166033,0.164286,0.166327,0.165312,0.16601,0.164468,0.164986,0.165926,0.16636,0.166354,0.166089,0.164748,0.165196,0.16531,0.165197,0.165252
T100k.D2k.L50.P20.O0.C6.data,w2v,100,6,0.9997566413817622,0.9997566413817621,0.8972932644808493,0.9997566413817621,0.9997566413817622,0.9997566413817625,0.9997566413817621,0.9997566413817621,0.9997566413817622,0.9997566413817622,0.9997566413817622,0.9065212138970898,0.9997566413817621,0.999756641381762,0.9997566413817622,0.9997566413817622,0.9997566413817625,0.9997566413817622,0.9997566413817621,0.9997566413817622,0.9997566413817622,0.897297684830142,0.9997566413817621,0.9997566413817622,0.8973087739667966,0.9997566413817621,0.9997566413817621,0.9997566413817622,0.9997566413817622,0.9997566413817622,0.174248,0.173927,0.211138,0.174023,0.174752,0.175147,0.173616,0.174612,0.174488,0.174342,0.17431,0.217589,0.174658,0.174067,0.175054,0.174157,0.174402,0.174572,0.174464,0.175198,0.17484,0.223876,0.174241,0.174617,0.213468,0.174395,0.179279,0.174756,0.173978,0.174068
T100k.D2k.L50.P20.O10.C6.data,w2v,100,6,0.9997585236645915,0.9108957073009724,0.9997585236645915,0.910896146467884,0.9997585236645915,0.9997585236645914,0.9997585236645916,0.9997585236645915,0.9108962174505226,0.9997585236645915,0.9108952524987266,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645916,0.895993019772439,0.9997585236645915,0.9997585236645914,0.9997585236645915,0.9030594139029108,0.9997585236645915,0.8959874282825472,0.9997585236645916,0.9997585236645915,0.9096016341594182,0.9997585236645915,0.9997585236645914,0.9997585236645915,0.9997585236645915,0.176223,0.220329,0.177954,0.210362,0.176665,0.176546,0.176148,0.176127,0.217171,0.176801,0.203657,0.176653,0.177355,0.177035,0.176291,0.176917,0.196444,0.176585,0.177598,0.176878,0.208846,0.176765,0.236268,0.177142,0.176437,0.209006,0.177256,0.176427,0.176691,0.181268
