dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
T100k.D2k.L50.P0.O0.C6.data,Glove,100,4,0.8615811074896313,0.8615811074896313,0.8580370277850876,0.8615811074896313,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8615811074896312,0.8580370277850876,0.8580370277850876,0.8615811074896313,0.8615811074896313,0.8496507059864485,0.8580370277850876,0.8580370277850876,0.8615811074896312,0.8615811074896313,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8580370277850876,0.8615811074896313,0.8580370277850876,0.8580370277850876,0.137616,0.15144,0.149484,0.151473,0.149538,0.155864,0.150207,0.152312,0.149628,0.154461,0.157399,0.150281,0.151614,0.149852,0.149304,0.149855,0.155781,0.149752,0.148867,0.150029,0.149579,0.1545,0.150343,0.150532,0.150123,0.150465,0.151508,0.149918,0.148486,0.150915
T100k.D2k.L50.P0.O10.C6.data,Glove,100,4,0.859563559750326,0.8644193796919714,0.8595635597503261,0.8595635597503261,0.8644193796919714,0.8541576903208363,0.8686743287113708,0.8595635597503261,0.8644193796919714,0.8428014981226589,0.859563559750326,0.8644193796919714,0.859563559750326,0.8478676013825357,0.8572378501205438,0.8644193796919714,0.8686743287113708,0.8541576903208362,0.8644193796919714,0.8644193796919714,0.8595635597503257,0.8519776597143948,0.8644193796919714,0.8644193796919714,0.8595635597503257,0.8686743287113708,0.8644193796919714,0.821714119730367,0.8466618963619593,0.8478676013825356,0.146228,0.160951,0.161325,0.165894,0.16035,0.16524,0.160224,0.165007,0.159259,0.158897,0.158878,0.158213,0.1591,0.158272,0.163003,0.157876,0.161029,0.159328,0.174763,0.160053,0.158778,0.161087,0.158871,0.159091,0.158813,0.160118,0.166143,0.163141,0.163292,0.158754
T100k.D2k.L50.P0.O20.C6.data,Glove,100,4,0.8556432426443304,0.8344149437684585,0.8556432426443304,0.8377175281643982,0.8639522799067281,0.8556432426443304,0.8556432426443304,0.8639522799067283,0.8639522799067283,0.8556432426443304,0.8556432426443302,0.8639522799067282,0.8367827093991073,0.8556432426443304,0.8344149437684586,0.8639522799067285,0.8556432426443306,0.8639522799067283,0.8556432426443304,0.8639522799067283,0.8639522799067285,0.8639522799067282,0.8639522799067283,0.8556432426443304,0.8639522799067281,0.8639522799067282,0.8639522799067283,0.8639522799067285,0.8377175281643979,0.8639522799067283,0.160701,0.167943,0.165891,0.1715,0.168999,0.166122,0.165407,0.165117,0.169772,0.166225,0.165224,0.168989,0.168557,0.165682,0.174537,0.169749,0.164364,0.169573,0.168596,0.168293,0.168928,0.171983,0.168704,0.169909,0.182143,0.170031,0.16908,0.169128,0.169862,0.168559
T100k.D2k.L50.P0.O30.C6.data,Glove,100,4,0.8713048493934464,0.859058840907659,0.8713048493934467,0.8713048493934467,0.8590588409076588,0.8713048493934468,0.8713048493934465,0.8585339250228824,0.8174212632596263,0.8713048493934467,0.8174212632596262,0.859058840907659,0.8713048493934468,0.8524105938227774,0.8713048493934464,0.8713048493934467,0.859058840907659,0.8524105938227776,0.8524105938227774,0.8524105938227774,0.8590588409076587,0.859058840907659,0.8590588409076588,0.8713048493934468,0.8524105938227774,0.8524105938227776,0.8360276625692693,0.8713048493934464,0.8713048493934468,0.8713048493934464,0.140712,0.153675,0.153502,0.153166,0.154081,0.153943,0.153343,0.152484,0.154735,0.154857,0.152863,0.152737,0.15363,0.154187,0.15189,0.155219,0.15386,0.154457,0.154491,0.152964,0.157592,0.153735,0.153581,0.159638,0.152692,0.152429,0.154347,0.152771,0.152147,0.161684
T100k.D2k.L50.P10.O0.C6.data,Glove,100,4,0.8640924577697712,0.8646105792425011,0.8636186863539504,0.864205508454778,0.8636186863539504,0.864610579242501,0.8582822371535075,0.8469906236409102,0.864610579242501,0.8640924577697712,0.8640924577697712,0.8642055084547777,0.8636186863539504,0.864610579242501,0.8642055084547777,0.864205508454778,0.8636186863539504,0.8642055084547777,0.868678391280594,0.8636186863539504,0.8636186863539504,0.8636186863539504,0.8640924577697712,0.864205508454778,0.8687781359476099,0.8124538629925085,0.8590180153572089,0.8582822371535074,0.864205508454778,0.8640924577697712,0.150509,0.16988,0.174345,0.163606,0.163533,0.164939,0.168292,0.165116,0.165011,0.170389,0.162692,0.162448,0.163962,0.163212,0.162381,0.162562,0.166452,0.164414,0.168843,0.165105,0.162383,0.168712,0.16208,0.164195,0.164161,0.173224,0.162948,0.163364,0.167624,0.165609
T100k.D2k.L50.P10.O10.C6.data,Glove,100,4,0.8657723737502493,0.8389374693418643,0.8390400113786318,0.8627407809960574,0.8580931187076967,0.8622109716643069,0.8657723737502492,0.8627407809960573,0.8580931187076967,0.8627407809960574,0.8390400113786318,0.8622805428370062,0.8390400113786318,0.8580931187076967,0.8622805428370063,0.8622109716643068,0.8390400113786318,0.8657723737502492,0.8390400113786318,0.8580931187076967,0.8580931187076967,0.8390400113786317,0.8622805428370065,0.8622109716643068,0.8622109716643068,0.8627407809960574,0.8390400113786317,0.8390400113786317,0.8390400113786317,0.8627407809960574,0.142406,0.159105,0.153298,0.159224,0.154417,0.159707,0.154894,0.15578,0.15303,0.154172,0.15179,0.154275,0.152449,0.159873,0.156647,0.154359,0.152014,0.161346,0.154794,0.153857,0.15472,0.15567,0.1649,0.155915,0.153789,0.156414,0.153224,0.153897,0.151753,0.155667
T100k.D2k.L50.P10.O20.C6.data,Glove,100,4,0.8568006640913982,0.8568006640913982,0.8568006640913982,0.8284619064586023,0.8568006640913982,0.8544039434689791,0.854403943468979,0.8538558971082877,0.8320430053451984,0.8547542025711637,0.8556306794780254,0.8523699258167473,0.8544039434689791,0.8514468001484403,0.8544039434689791,0.8320430053451984,0.8568006640913982,0.8570236975379327,0.8568006640913982,0.8538558971082877,0.8568006640913982,0.8568006640913982,0.8538558971082877,0.8568006640913982,0.8523699258167473,0.8284619064586023,0.8284619064586023,0.8568006640913982,0.8568006640913982,0.8568006640913982,0.16047,0.168153,0.172347,0.165748,0.166469,0.177535,0.177505,0.167538,0.168308,0.173964,0.16768,0.165762,0.166113,0.1716,0.168212,0.172512,0.167777,0.171828,0.165866,0.16784,0.167609,0.16709,0.174096,0.166566,0.165396,0.172288,0.166822,0.166534,0.167995,0.169518
T100k.D2k.L50.P10.O30.C6.data,Glove,100,4,0.8627854572309431,0.8398781095651666,0.8564992600231489,0.8649431208836199,0.8599025910627075,0.8400022018549872,0.8398781095651667,0.8398781095651666,0.8564992600231489,0.8649431208836199,0.8564992600231488,0.8599025910627075,0.8599025910627075,0.8599025910627076,0.8463531107080547,0.8599025910627076,0.8599025910627075,0.8627854572309431,0.8627854572309431,0.8564992600231489,0.8627854572309431,0.8649431208836199,0.8649431208836198,0.8564992600231489,0.8627854572309431,0.8398781095651666,0.8627854572309431,0.8527905727000299,0.8463531107080547,0.8627854572309431,0.133035,0.14323,0.145957,0.150358,0.150727,0.144949,0.145349,0.15218,0.144498,0.155128,0.144052,0.150255,0.153062,0.145154,0.147004,0.150528,0.150095,0.14603,0.145311,0.14431,0.14531,0.146686,0.146476,0.145584,0.146262,0.152451,0.151205,0.147692,0.144037,0.147501
T100k.D2k.L50.P20.O0.C6.data,Glove,100,4,0.8707807930086285,0.8707807930086284,0.8441839887177423,0.8441839887177424,0.8441839887177424,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8270801847889356,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8471390409164044,0.8441839887177424,0.8707807930086285,0.8707807930086285,0.8441839887177424,0.8441839887177425,0.8270801847889356,0.8441839887177423,0.8707807930086285,0.8707807930086285,0.8707807930086285,0.8441839887177421,0.8441839887177424,0.8441839887177424,0.138037,0.151982,0.151063,0.152318,0.160163,0.152489,0.151662,0.151426,0.151429,0.152611,0.15232,0.153088,0.152421,0.160555,0.152812,0.151751,0.157708,0.152699,0.152116,0.157175,0.157787,0.158233,0.159198,0.152742,0.152251,0.152735,0.153255,0.152962,0.151099,0.152346
T100k.D2k.L50.P20.O10.C6.data,Glove,100,4,0.846957675731415,0.8520510899399454,0.8573490455161772,0.8643720035582508,0.8573490455161772,0.8520510899399454,0.8573490455161772,0.8496453576010209,0.8573490455161772,0.8520510899399454,0.8496453576010212,0.8573490455161772,0.8391129319031392,0.8496453576010209,0.8100801099184395,0.8573490455161773,0.8520510899399454,0.8520510899399454,0.8520510899399453,0.849645357601021,0.8696596258788427,0.8643720035582508,0.8573490455161773,0.849645357601021,0.8100801099184394,0.849645357601021,0.8467149479427638,0.8496453576010209,0.8496453576010209,0.8573490455161773,0.145756,0.152119,0.157328,0.16184,0.151725,0.153061,0.151883,0.163441,0.152889,0.157909,0.157256,0.152449,0.154503,0.152262,0.158061,0.154491,0.153381,0.152888,0.158855,0.152271,0.163037,0.157805,0.152185,0.152192,0.153361,0.158737,0.158561,0.15718,0.152685,0.159506
T100k.D2k.L50.P20.O20.C6.data,Glove,100,4,0.865576507367594,0.875556780031401,0.8578201327847966,0.865576507367594,0.865576507367594,0.865576507367594,0.865576507367594,0.865576507367594,0.8578201327847966,0.865576507367594,0.865576507367594,0.8635762078231604,0.8755567800314012,0.8578201327847966,0.865576507367594,0.8578201327847964,0.865576507367594,0.8578201327847966,0.8578201327847966,0.8655181191095728,0.8578201327847966,0.865576507367594,0.865576507367594,0.8578201327847966,0.8578201327847966,0.865576507367594,0.8578201327847966,0.865576507367594,0.8578201327847966,0.8578201327847966,0.138719,0.152607,0.157801,0.147975,0.150192,0.148677,0.147188,0.148112,0.157656,0.148497,0.148598,0.147947,0.15563,0.149621,0.148095,0.147315,0.14873,0.15126,0.151595,0.160972,0.148586,0.148761,0.152469,0.153473,0.152502,0.149087,0.166554,0.148608,0.149396,0.151867
T100k.D2k.L50.P20.O30.C6.data,Glove,100,4,0.8297052727960407,0.8584280628707138,0.8297052727960407,0.8539799960589082,0.8237726645228073,0.8613076803640365,0.8613076803640365,0.8613076803640365,0.8613076803640365,0.8613076803640365,0.8496154808364724,0.846117062678791,0.8182439495124657,0.8429128649100754,0.8429128649100753,0.8613076803640365,0.8297052727960407,0.8297052727960407,0.8237726645228072,0.8464309237029054,0.8297052727960407,0.8237726645228073,0.8613076803640363,0.8613076803640365,0.8237726645228072,0.8464309237029054,0.8613076803640363,0.8496154808364725,0.8461170626787907,0.8613076803640365,0.144404,0.158868,0.151568,0.156401,0.155844,0.15333,0.156766,0.153677,0.157398,0.152055,0.152216,0.151867,0.156078,0.156032,0.157196,0.151472,0.157303,0.15067,0.150144,0.156198,0.156843,0.157424,0.150757,0.1564,0.152056,0.155852,0.152025,0.150649,0.152378,0.155935
T100k.D2k.L50.P30.O0.C6.data,Glove,100,4,0.854742689372537,0.8307662583107206,0.8307662583107207,0.854742689372537,0.8558912520554273,0.854742689372537,0.8558912520554273,0.8547426893725368,0.8115381252258276,0.854742689372537,0.8307662583107207,0.8558912520554273,0.8307662583107206,0.8558912520554273,0.854742689372537,0.8558912520554273,0.8307662583107207,0.854742689372537,0.854742689372537,0.854742689372537,0.8335929474837518,0.8218370781597818,0.854742689372537,0.8307662583107207,0.8547426893725368,0.8547426893725368,0.854742689372537,0.854742689372537,0.8307662583107206,0.8307662583107206,0.159779,0.172621,0.173783,0.25389,0.258823,0.174054,0.190457,0.181535,0.172702,0.178485,0.177946,0.178904,0.178419,0.178347,0.172568,0.178618,0.177541,0.178036,0.177603,0.172905,0.172542,0.178012,0.177732,0.176884,0.173956,0.17168,0.171884,0.178758,0.175513,0.177722
T100k.D2k.L50.P30.O10.C6.data,Glove,100,4,0.8383365679249266,0.8544976790843254,0.8383365679249266,0.8256484648978032,0.8383365679249266,0.8383365679249266,0.825648464897803,0.8585531516391762,0.8383365679249266,0.8256484648978032,0.8585531516391762,0.854315084051902,0.8383365679249266,0.8383365679249266,0.8383365679249266,0.825648464897803,0.8383365679249266,0.8383365679249266,0.8507193485878104,0.8585531516391762,0.8256484648978033,0.8252134096219352,0.8383365679249266,0.8256484648978032,0.8544976790843254,0.8383365679249266,0.8383365679249266,0.8507193485878104,0.8256484648978032,0.8383365679249266,0.136484,0.152262,0.147437,0.157142,0.148096,0.149155,0.152821,0.172895,0.149991,0.152976,0.153704,0.149633,0.153321,0.15259,0.153607,0.148435,0.154364,0.153662,0.161419,0.153718,0.147399,0.148319,0.148674,0.15063,0.157829,0.147436,0.153254,0.153335,0.148743,0.159997
T100k.D2k.L50.P30.O20.C6.data,Glove,100,4,0.8277327405901866,0.8546226346542705,0.8546226346542705,0.8546226346542705,0.8229913981362469,0.8277327405901866,0.8582654944297601,0.8229913981362469,0.8438160600136795,0.8438160600136795,0.8546226346542705,0.8546226346542705,0.8582654944297601,0.859564079677503,0.853798498133757,0.8229913981362467,0.8453286413971955,0.8277327405901866,0.8596697045567767,0.8277327405901866,0.8277327405901866,0.8277327405901866,0.8277327405901868,0.8277327405901866,0.8277327405901866,0.8277327405901868,0.8229913981362469,0.8597420100662553,0.8546226346542705,0.8277327405901866,0.13783,0.14747,0.151185,0.146361,0.149421,0.149587,0.164065,0.153581,0.165522,0.151692,0.151636,0.147088,0.15116,0.153035,0.155993,0.147484,0.151693,0.162734,0.150245,0.150893,0.154211,0.145718,0.150712,0.149036,0.14994,0.146413,0.150225,0.152499,0.146345,0.147001
T100k.D2k.L50.P30.O30.C6.data,Glove,100,4,0.879137443886059,0.879137443886059,0.879137443886059,0.879137443886059,0.8652269760003886,0.879137443886059,0.879137443886059,0.879137443886059,0.879137443886059,0.8652269760003886,0.871014252852361,0.879137443886059,0.871014252852361,0.871014252852361,0.879137443886059,0.879137443886059,0.871014252852361,0.879137443886059,0.879137443886059,0.871014252852361,0.879137443886059,0.879137443886059,0.879137443886059,0.809871784793824,0.871014252852361,0.8450475495730924,0.8371586850420352,0.871014252852361,0.8652269760003886,0.879137443886059,0.149164,0.154804,0.156018,0.16116,0.162955,0.161099,0.160713,0.154954,0.161052,0.155718,0.166646,0.157514,0.157146,0.160902,0.161298,0.161132,0.160746,0.156033,0.162058,0.161256,0.155259,0.163295,0.160777,0.15619,0.160021,0.155071,0.159009,0.161819,0.158207,0.162166
