dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,Glove,200,8,0.10377255488332211,0.10179699833040926,0.10722603185936687,0.10200045896689705,0.10210440247528918,0.1071988265859157,0.1020717742682173,0.10251871215046311,0.10645333050722178,0.10856081789389498,0.10342785037931063,0.10568197647208499,0.10164178057168495,0.11133438329934009,0.10634400628620362,0.09968896752644921,0.10867716661594094,0.10489963125101956,0.10142181072868733,0.10195747067801529,0.10548583981198995,0.10476230164054738,0.10142181072868733,0.1054346130973407,0.10597858969813438,0.10490228946825425,0.10654919233540909,0.10086751358715813,0.09923092674291646,0.10535218633857116,0.220594,0.204799,0.239219,0.217562,0.23069,0.216768,0.486146,0.256462,0.203502,0.295812,0.22109,0.195485,0.209963,0.222876,0.357145,0.255217,0.33349,0.336784,0.274296,0.238311,0.350749,0.244411,0.312013,0.331065,0.474661,0.264023,0.246873,0.270283,0.222035,0.314707
anneal.D73.N898.C6.num,Glove,200,8,0.0905135559163907,0.09027871683868453,0.09037272581673818,0.08666518543820434,0.09317386577319647,0.09327609747399948,0.08936823559137694,0.09746608874447417,0.09327609747399948,0.08493578610007732,0.1008973344346571,0.088837920823669,0.09546978618022038,0.09241214712034217,0.08841168903158396,0.0955461872401222,0.0905135559163907,0.09063917107586493,0.0981820658282708,0.09043172434979808,0.10083400826716765,0.0963090961309726,0.09852457712063566,0.09482163872411781,0.08641355258823477,0.09708035746473499,0.0850255501215019,0.09065166633631111,0.09630909613097256,0.09317386577319647,0.012834,0.009409,0.012219,0.006127,0.007712,0.007977,0.006516,0.005006,0.006563,0.006292,0.005321,0.005015,0.008978,0.005307,0.007306,0.007212,0.006828,0.005289,0.006279,0.005603,0.008095,0.01175,0.008782,0.007456,0.008968,0.010033,0.007103,0.005343,0.008684,0.005099
breast.D20.N699.C2.num,Glove,200,8,0.35755884317387415,0.34938587832297996,0.35781807434229607,0.3493858783229801,0.3611164372304873,0.35703790107232364,0.35890196266228874,0.3592236896447474,0.3645205885343646,0.35697499302847197,0.35689388628215574,0.35689388628215574,0.3614125341100654,0.3633391828319516,0.356974993028472,0.35922368964474727,0.3575588431738741,0.35755884317387415,0.35697499302847185,0.3631244434680387,0.3579857146200159,0.3556292175327103,0.3569749930284719,0.36407867245059444,0.356974993028472,0.3569749930284719,0.3640786724505945,0.3633391828319515,0.35697499302847197,0.3493858783229801,0.003973,0.003321,0.003372,0.003628,0.003895,0.003914,0.003349,0.003621,0.00359,0.004177,0.003594,0.003582,0.00359,0.003622,0.003896,0.003609,0.0036,0.003879,0.003606,0.003614,0.003638,0.003603,0.00387,0.003625,0.004156,0.003866,0.003593,0.003865,0.003886,0.004001
chessKRvK.D58.N28056.C18.num,Glove,200,8,0.06452988249992846,0.06735794968482887,0.07721406796494697,0.05980218723413934,0.09086519955323964,0.07728356120335304,0.0826857175354024,0.07717923135964588,0.06594644016631554,0.07725619517825381,0.06664149493300073,0.07728464538759815,0.07714481935036112,0.07728464538759815,0.09222325650328306,0.07718446187079744,0.08489868359455215,0.07715227552231857,0.06706286380769638,0.09157249987861615,0.06728255193553329,0.058966900272392174,0.0772833334637224,0.06331638373145955,0.06661568314386049,0.06724098804693798,0.061988883871332986,0.05812036642171399,0.07728894064525386,0.06742406555324011,0.197141,0.215685,0.148038,0.177123,0.204734,0.211961,0.185724,0.187841,0.311145,0.324094,0.223984,0.28767,0.36466,0.195936,0.202947,0.182905,0.227805,0.216977,0.161733,0.29797,0.206854,0.17521,0.23134,0.195058,0.302932,0.24849,0.407995,0.202322,0.238369,0.177782
connect4.D129.N67557.C3.num,Glove,200,8,0.001752857774557635,0.0017462105695873879,0.0017732493226392367,0.0017410366530412104,0.0017410366530412104,0.0017410366530412104,0.0017642589284803023,0.0017611281230171245,0.0017621738397126249,0.0017409573991630817,0.001743469075048114,0.0017652865776717887,0.0017411318969978741,0.0017642589284803023,0.0017410366530412104,0.0017428531418030749,0.001767368119133959,0.0017646997014525902,0.001742853141803075,0.0016505575839212577,0.0017488833123000614,0.0017648703428058317,0.0016664075949267144,0.0017670011824357566,0.0019786862663008446,0.0017732493226392367,0.0017671360279115644,0.0017807746077108143,0.0017599055890477968,0.0017428531418030749,0.390941,0.348704,0.530713,0.548715,0.423701,0.419479,0.69519,0.591488,0.530439,0.567282,0.426698,0.42145,0.581398,0.502733,0.75998,0.698537,0.596274,0.480731,0.77134,0.427833,0.363288,0.467428,0.456316,0.396632,0.39818,0.555915,0.375011,0.383301,0.329436,0.519527
heart.D52.N303.C5.num,Glove,200,8,0.15496891309073338,0.18045118204222305,0.15085967314684787,0.16206744374317272,0.16963572031710164,0.1433608595458001,0.17562180559583396,0.16673258077686523,0.1584025938181806,0.16061205282300794,0.1605621574086549,0.15312027247475204,0.17517971240424662,0.14111381298960202,0.16715977941655868,0.1536126905084963,0.15834365749189688,0.16132301435920687,0.1529072562021607,0.15785362717678095,0.14708061824058527,0.1438749003941694,0.1403098550219727,0.15177880224703294,0.1669213289549788,0.17076751760390216,0.1665971517014794,0.15243817573466126,0.15880340094052003,0.16576746793702057,0.009538,0.005687,0.014803,0.00965,0.013505,0.003721,0.004294,0.003495,0.00368,0.004593,0.00495,0.005221,0.003954,0.004089,0.004744,0.005288,0.003925,0.00396,0.004267,0.005295,0.004555,0.003974,0.005663,0.003993,0.003926,0.004769,0.003905,0.004745,0.003705,0.005428
ionosphere.D157.N351.C2.num,Glove,200,8,0.09833584775919024,0.10079775599042162,0.08109373590901739,0.08659389954409495,0.0959171662163252,0.0984544817643451,0.058512394057684734,0.10273277839432916,0.09479483148400601,0.07350426625161106,0.10133158905071375,0.08410167659454,0.06459668199838003,0.08323840693854143,0.08625878773390391,0.0984998110209362,0.0706758161630448,0.09866328211946165,0.09105164775773111,0.11579217011651093,0.09576727284070595,0.09091845364939276,0.09920106951932789,0.0934810111319456,0.09528974399583652,0.09218415451793144,0.09637492948679255,0.09927238942426808,0.10749255916628729,0.09100126711471465,0.005077,0.004022,0.005402,0.00477,0.006042,0.004319,0.005601,0.004265,0.00453,0.004244,0.008262,0.007682,0.004513,0.00403,0.005504,0.007271,0.004016,0.005197,0.004547,0.004769,0.004253,0.00615,0.004941,0.005825,0.007118,0.006053,0.004803,0.005446,0.004492,0.005076
iris.D19.N150.C3.num,Glove,200,8,0.6540056694774992,0.6344119923383696,0.6815439680164892,0.6308801705623852,0.6660459398314584,0.6396297525296188,0.674939998373983,0.6407642899950409,0.6571484283515107,0.6750156286830816,0.6099693005926118,0.6312922021207099,0.6642094718149965,0.6319203331812615,0.6488266624629173,0.6585187286140914,0.6204806812626145,0.6526827159589859,0.6645048847861582,0.6549972797034479,0.6779888987612691,0.639237999513751,0.6513873732899962,0.6981125476527041,0.6375220191732905,0.6378776922413629,0.6235408887380314,0.6626602226948931,0.6516623836020274,0.6460379639753159,0.002767,0.002596,0.00251,0.002707,0.002701,0.002723,0.00293,0.002915,0.002516,0.002315,0.0027,0.00272,0.002507,0.002898,0.002505,0.002499,0.002504,0.002495,0.002501,0.002696,0.002705,0.002519,0.00272,0.002522,0.002512,0.00251,0.002514,0.002728,0.002504,0.002722
led7.D24.N3200.C10.num,Glove,200,8,0.38470824473635296,0.4257496149794359,0.4067731118459601,0.4388939064770337,0.42423324532047213,0.4297131706111604,0.40101441541555727,0.41021099981185494,0.41354374937814187,0.3869377717039674,0.39292644595117254,0.38859083740988,0.3997877077939331,0.40748003803235316,0.40804292251108865,0.3975659114362231,0.36992278989787697,0.41396102373560434,0.40459772101276376,0.4374286757419415,0.41032837234803105,0.4242332453204722,0.42653027227739526,0.3917423726760789,0.39945997661268046,0.4109766238242264,0.3919834224846215,0.36677129313988033,0.423144310896713,0.35071521296045033,0.00993,0.011487,0.012198,0.011205,0.011494,0.011585,0.009965,0.010613,0.011227,0.012141,0.010552,0.009984,0.00993,0.011742,0.011103,0.010465,0.011577,0.010461,0.010554,0.011586,0.01057,0.012025,0.011549,0.011104,0.010509,0.011643,0.010981,0.012594,0.011067,0.009936
letRecog.D106.N20000.C26.num,Glove,200,8,0.0775290300611467,0.07333406758226696,0.07770828687540211,0.07865633542551331,0.07853245654312065,0.07351685219914662,0.07727804128076987,0.07742759610020816,0.07846941717348924,0.07755544921609615,0.0774388512268756,0.07784575357278901,0.07783471704894325,0.07732146013206302,0.0770295987176281,0.0777415802175872,0.07773029452674778,0.07748544890619345,0.07331881920185784,0.07833336768136569,0.07761498467022424,0.07643403180662724,0.07710262071765218,0.07732146013206301,0.07335069604933565,0.07698957934822175,0.07335069604933565,0.07837241194377066,0.07888714761580627,0.07683495036524728,0.115989,0.110958,0.124954,0.120708,0.136288,0.118607,0.130095,0.176368,0.137987,0.161357,0.177437,0.130986,0.184604,0.163066,0.108168,0.143931,0.13798,0.109079,0.275718,0.105612,0.160945,0.144501,0.109236,0.143285,0.151751,0.154336,0.294306,0.214787,0.1134,0.151268
