dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,Glove,50,16,0.08884420320301799,0.0958144904281566,0.09292346830321994,0.10047373000922408,0.09658597569065874,0.10023358962641228,0.08811727864398014,0.09297771457474029,0.09232885090196077,0.09256659288974413,0.09263379922458621,0.09554706621228018,0.09516224919862418,0.08736561936521092,0.0933180775603113,0.08908965399318568,0.09963802314006084,0.09130542596411377,0.0960757048464904,0.09438226879173546,0.09832699334229808,0.09463893957627971,0.08856657038771135,0.09950785122964609,0.09439308245971237,0.08815584333124506,0.09725312818531147,0.09577143690844897,0.09125190145643092,0.09466645601374271,0.125453,0.171674,0.134894,0.131108,0.148029,0.117017,0.13127,0.207533,0.161052,0.146458,0.18525,0.100933,0.12162,0.197237,0.115809,0.1392,0.145129,0.121021,0.17167,0.137626,0.134956,0.153241,0.139649,0.116791,0.137732,0.149938,0.176317,0.124929,0.144475,0.12703
anneal.D73.N898.C6.num,Glove,50,16,0.10366878217724197,0.10510880917404422,0.11858855657674802,0.10974983676606025,0.1189412546928068,0.11304872468110237,0.1034287451308205,0.11100720273583738,0.11694868299047131,0.11941130158030219,0.12042618781432593,0.10730135981868366,0.10864844821447071,0.12184285113257023,0.11715430797406519,0.10704776421202085,0.11753788445727795,0.11565075317180933,0.11578927756551677,0.10546271478239076,0.12913996464129313,0.11529873526944698,0.11540846694034201,0.12487882388411599,0.12320741745363177,0.14152605967559498,0.11255975173050121,0.12325597163489384,0.11495074937263221,0.11019108111081574,0.007466,0.006262,0.006589,0.014034,0.010149,0.011411,0.007628,0.006291,0.006843,0.005922,0.006261,0.006888,0.008066,0.008112,0.006204,0.010588,0.006502,0.006492,0.007388,0.007029,0.006214,0.00746,0.008956,0.00986,0.010293,0.010436,0.010216,0.011568,0.01256,0.011525
breast.D20.N699.C2.num,Glove,50,16,0.3249894113604036,0.31315147253250164,0.3176920325832762,0.31822439547514175,0.3193968412184707,0.31717420444378835,0.3184008762670397,0.3203680261137118,0.3182243954751417,0.3195020130963117,0.3152905451510228,0.3188150695442563,0.3194609316312989,0.3173281076119411,0.3176920325832762,0.3200972125107426,0.3182243954751417,0.3192704617565262,0.3189962375870479,0.31895924255756425,0.31769203258327633,0.31230594918239324,0.3189878713330951,0.31854426473738906,0.31879677318387584,0.3136763424156697,0.32009721251074247,0.32053117053423585,0.31822439547514175,0.3173281076119411,0.006626,0.004267,0.004266,0.004038,0.004243,0.004251,0.004047,0.004259,0.004048,0.004287,0.00404,0.004041,0.004031,0.004122,0.004248,0.004239,0.004044,0.004029,0.004069,0.004031,0.004237,0.004479,0.00402,0.004047,0.004263,0.004251,0.004258,0.004054,0.004017,0.004039
chessKRvK.D58.N28056.C18.num,Glove,50,16,0.09853782868513092,0.11150094951762264,0.09692512060634442,0.10677707531940739,0.09369741437952736,0.09550519671462859,0.09678903603697131,0.09356841862747005,0.09975515077888433,0.10727385163177755,0.09294168158625823,0.09902759367502995,0.09674959089187714,0.09294458734663365,0.09442828042669131,0.09246992585143059,0.0967445580456127,0.09486474806527972,0.09554575626078005,0.0951909882717482,0.09638768247278093,0.0937692868928911,0.10928641638137156,0.09415931991344094,0.0925652127515587,0.09651296718697272,0.09730007672689533,0.09376445235543879,0.09090661985536637,0.09185646578285782,0.132864,0.174334,0.160972,0.213835,0.165884,0.10379,0.197269,0.138472,0.125849,0.174673,0.124814,0.1069,0.128029,0.218628,0.123866,0.12838,0.178796,0.156048,0.124464,0.267814,0.131289,0.133013,0.108847,0.144362,0.194589,0.183777,0.183273,0.18064,0.182913,0.107944
connect4.D129.N67557.C3.num,Glove,50,16,0.0019682426899088517,0.002132976776290539,0.0019114137136572896,0.002200139778202834,0.0020737438042681294,0.0021504332968055448,0.0020860606220072715,0.0019294050443991002,0.0020544867900141265,0.0019068937106929886,0.0018071259577312861,0.0020350013400587813,0.002044184485313997,0.0021063862398309264,0.002211498206882415,0.0019699538487612054,0.002151775444258158,0.0021642031405617653,0.001964678042503954,0.002041441258825178,0.0020319884730368018,0.0020015800641339323,0.0021723556534444556,0.001937764648590376,0.002099721837593007,0.0020147326473350323,0.0019307352175144277,0.00202458645210916,0.0019561539226705116,0.0019846763247485595,0.426057,0.462488,0.533684,0.706583,0.578487,0.985123,0.381858,0.409744,0.543085,0.903266,0.451773,0.472289,0.574422,0.39904,0.696924,0.603999,0.365233,0.6497,0.518045,0.452672,0.816776,0.531643,0.329082,0.48638,0.409768,0.296913,0.603366,0.574726,0.281747,0.391351
heart.D52.N303.C5.num,Glove,50,16,0.17945810663116443,0.19011240392020023,0.18408883982746224,0.17555473382810866,0.1819555466450084,0.17233119395735358,0.1846672180732851,0.20460271213262884,0.18320344955728976,0.19379414868139444,0.1795836444170175,0.18221493678398704,0.1872951721137565,0.17243315620629165,0.1929294473986559,0.1870014837870548,0.18417601660024285,0.1881357258411921,0.17828373561860883,0.17719127201054782,0.19337978367882264,0.1930229118898847,0.18805840884469746,0.17258399776532687,0.19708645306779451,0.18950369783919357,0.19232147089541454,0.17845407075586145,0.1815572624159626,0.18080125817712542,0.005332,0.00461,0.004684,0.004434,0.005377,0.004876,0.004902,0.004685,0.00445,0.004897,0.004424,0.005524,0.005507,0.005524,0.00511,0.004629,0.005152,0.005238,0.006282,0.006713,0.00556,0.005318,0.005104,0.005517,0.004465,0.005735,0.005315,0.004828,0.004891,0.005935
ionosphere.D157.N351.C2.num,Glove,50,16,0.08781974537755728,0.08758455241371169,0.09745729835091183,0.08921980929381623,0.08328117584693906,0.08180829215172007,0.08477723147242079,0.0910255269112623,0.08294290873659273,0.07938670479983748,0.09587729135686907,0.09210342356704018,0.09096405981295326,0.08589387850944538,0.0842220308626583,0.08530434765734436,0.0833295386972843,0.10527385343840025,0.09089411975011928,0.09544471908987756,0.08547637186897761,0.08966421290898528,0.08913707500594352,0.09034892812851288,0.08474579321427066,0.08183231765744928,0.09766992525867792,0.08642128804660729,0.09385814396844466,0.08614024352711136,0.013352,0.007891,0.007245,0.004645,0.005701,0.006521,0.005084,0.005336,0.00646,0.00597,0.005278,0.006143,0.00529,0.004874,0.005965,0.005863,0.004881,0.004631,0.005516,0.005085,0.005274,0.005305,0.005545,0.004397,0.006929,0.0053,0.005491,0.006931,0.005671,0.005293
iris.D19.N150.C3.num,Glove,50,16,0.5815551638533123,0.5684859115063668,0.5953022737100413,0.5798483338503485,0.5616796322787384,0.5717164785272625,0.5700163725245527,0.5766805819195894,0.5703967065204726,0.5691648769102798,0.5653257855951163,0.5730128804142249,0.5674230867275853,0.5771763860151612,0.5704819745120379,0.5832275448135352,0.5674230867275852,0.5704423848243602,0.6035287343362015,0.583616630000951,0.5910452874703181,0.5756813354625814,0.5726217289032075,0.5620592674990125,0.5674547279838903,0.5670281836681602,0.5686445793042385,0.5634443959134315,0.5648190387119821,0.5702151473539875,0.003458,0.003415,0.00342,0.003414,0.003407,0.003429,0.003603,0.003421,0.003422,0.003404,0.003424,0.003427,0.003432,0.003475,0.003421,0.003417,0.003461,0.003626,0.003418,0.003411,0.003418,0.003592,0.003432,0.003432,0.003417,0.003616,0.003434,0.003586,0.003396,0.003413
led7.D24.N3200.C10.num,Glove,50,16,0.5363134402771371,0.5279828889076618,0.5586996844238226,0.5382689202271438,0.5541952320262384,0.5448103380150568,0.5364879817031835,0.5482181697509444,0.5599072967728298,0.5381912539358351,0.5145553033184473,0.5541740570966346,0.5588837092232327,0.5457909282540389,0.5296425721375831,0.5314648543135444,0.5406126064504528,0.5182394776566593,0.5595447909543211,0.5464999513193464,0.5416554718430225,0.5427455957938192,0.5357982023873114,0.5464492375432679,0.5506806387513684,0.5458382497124743,0.5364488592318889,0.5387772516688694,0.5472788827107852,0.5470925046486957,0.008072,0.008495,0.00797,0.007496,0.007956,0.007493,0.008508,0.007985,0.008383,0.007486,0.00797,0.007972,0.00802,0.008939,0.008437,0.008024,0.008504,0.008571,0.008007,0.008496,0.008435,0.00799,0.008007,0.008424,0.007925,0.007978,0.008831,0.007956,0.008,0.008829
letRecog.D106.N20000.C26.num,Glove,50,16,0.1133006229450907,0.10262758227049637,0.10045572354388739,0.10119030129795949,0.11096760114338816,0.10129375508954824,0.10019920892866324,0.10256366470735458,0.10329834914199704,0.10287310203817782,0.10947476292640679,0.1040008716112547,0.10210009196868788,0.10455409046935948,0.09993755483096398,0.10706243843875068,0.1056196172447907,0.10098292450150709,0.09878234885555037,0.10531619415047754,0.10531096760659561,0.1034983099529199,0.10359478587513934,0.10019984634360607,0.10013885263091768,0.10168897034801065,0.10975052637836136,0.10716248489795327,0.09985971121172844,0.10713158781315084,0.100499,0.162356,0.149452,0.129397,0.302122,0.152788,0.097497,0.166912,0.204465,0.10344,0.152056,0.173943,0.154103,0.105652,0.120068,0.131474,0.106639,0.135697,0.251523,0.173247,0.155342,0.088589,0.092189,0.114902,0.157187,0.091854,0.196997,0.095764,0.067674,0.086911
