dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,w2v,100,4,0.16345283980965433,0.16356383894792595,0.16358053735340441,0.11907503466935175,0.12900120225592418,0.11936709575383567,0.163070684911712,0.16358053735340444,0.12422434285021305,0.11911480563491722,0.12065191778142849,0.1631835287971075,0.163070684911712,0.11911480563491723,0.163070684911712,0.1639793502331392,0.16358053735340444,0.163070684911712,0.16356383894792595,0.16358053735340444,0.163070684911712,0.16358053735340441,0.12065191778142849,0.16358053735340444,0.12422434285021305,0.16358053735340444,0.16358053735340441,0.16358053735340441,0.12065191778142849,0.16358053735340444,0.077491,0.074448,0.069083,0.087674,0.096603,0.090355,0.07804,0.08815,0.093985,0.076147,0.113992,0.09301,0.081458,0.103243,0.086916,0.07133,0.097744,0.080963,0.083345,0.144762,0.112647,0.105628,0.087562,0.117215,0.078352,0.086294,0.080905,0.088536,0.083662,0.113994
anneal.D73.N898.C6.num,w2v,100,4,0.1505382830546255,0.1732610684535177,0.15053319418251226,0.16461951972264913,0.16310659942281683,0.15053828305462544,0.1653919756114975,0.15897170080032055,0.15829669157507523,0.16079459577643626,0.0963660835976008,0.16293384240996756,0.15764217609552758,0.1505331941825122,0.16409179897678766,0.16186875672651357,0.16277344448636558,0.1582966915750752,0.1505382830546255,0.15053828305462547,0.1511240285305209,0.1604899145665541,0.16258688043368086,0.1732610684535177,0.09843219488915446,0.16079459577643626,0.1637396219504816,0.1734035241145194,0.16020287164758684,0.17068336986823604,0.008529,0.006676,0.005521,0.00412,0.004102,0.010097,0.005599,0.003821,0.00497,0.005303,0.004383,0.005275,0.004711,0.005477,0.007219,0.004707,0.004397,0.004941,0.004416,0.004699,0.004361,0.003855,0.004086,0.004442,0.004957,0.004386,0.003237,0.003854,0.004972,0.003517
breast.D20.N699.C2.num,w2v,100,4,0.47690848012382536,0.4463024686349249,0.4463024686349249,0.4463024686349249,0.48966341868631774,0.4769084801238255,0.44630246863492495,0.44630246863492495,0.44630246863492495,0.48330652594641915,0.44630246863492495,0.4463024686349249,0.4463024686349249,0.4941019311877237,0.4463024686349249,0.4769084801238254,0.47125292682100073,0.47006773152822734,0.4769084801238254,0.44630246863492495,0.4416945416942955,0.4463024686349249,0.4463024686349249,0.4769084801238254,0.4463024686349249,0.44630246863492495,0.4769084801238254,0.4463024686349249,0.5263685022082645,0.4463024686349249,0.0092,0.00448,0.004422,0.004395,0.002655,0.003156,0.00239,0.003431,0.003389,0.002637,0.002619,0.002636,0.002373,0.002382,0.003165,0.00418,0.002623,0.002917,0.003154,0.002395,0.002888,0.002633,0.003432,0.003169,0.002639,0.003131,0.003134,0.002441,0.002906,0.002919
chessKRvK.D58.N28056.C18.num,w2v,100,4,0.123935898112726,0.12393589811272601,0.12393589811272601,0.11622810184223302,0.10118879188534328,0.10610935282961101,0.11622804781991938,0.10118879188534328,0.12393589811272598,0.11626502759295064,0.11622730129700909,0.10610935282961102,0.11622810184223302,0.10610935282961102,0.10610935282961102,0.11626502759295063,0.10118879188534328,0.08164863736363583,0.12393589811272601,0.09925696236122822,0.11624804175109588,0.12393589811272601,0.10118879188534328,0.10610935282961101,0.11847561276270485,0.12393589811272598,0.1162650275929506,0.09925696236122823,0.09925696236122823,0.10610935282961102,0.052344,0.040453,0.041381,0.046975,0.047087,0.078076,0.047118,0.035264,0.043088,0.044452,0.052423,0.0372,0.044465,0.04146,0.05821,0.04486,0.04588,0.044849,0.043866,0.037388,0.048396,0.041484,0.044046,0.036386,0.058152,0.040573,0.044377,0.035042,0.037597,0.036115
connect4.D129.N67557.C3.num,w2v,100,4,0.0021815967865323627,0.001817846704038427,0.002292797474144081,0.0019675623192125275,0.0017912710512266983,0.00211080115593289,0.002776823638377134,0.0022914211697083395,0.0021089263407730596,0.002270418664437682,0.002604751537730265,0.002179947775270391,0.0020193388636486026,0.002011046936894239,0.001879464023679879,0.00201489149254094,0.0020221801380861893,0.0019134398150985824,0.0024028293867879237,0.002466504992809843,0.002020826636820889,0.0021815967865323627,0.0027070113179149093,0.002018997458842787,0.0018741143273219747,0.0019171644834453621,0.0019512980318809867,0.002020826636820889,0.00219042445156385,0.0018191237495204867,0.179383,0.118674,0.168326,0.169428,0.143948,0.199239,0.159713,0.129862,0.279353,0.17902,0.128555,0.179361,0.171442,0.151379,0.134752,0.149201,0.173308,0.155422,0.163446,0.139331,0.157535,0.202201,0.146705,0.210346,0.141646,0.164407,0.161755,0.169175,0.207834,0.130404
heart.D52.N303.C5.num,w2v,100,4,0.2612142575450486,0.25975821756438294,0.26540930408895985,0.2620018909499189,0.25975821756438294,0.2572770737399433,0.26540930408895985,0.2572770737399433,0.259758217564383,0.2572770737399433,0.26540930408895985,0.29419761535367783,0.28736885724603756,0.25975821756438294,0.26540930408895985,0.25975821756438294,0.2572770737399433,0.28129868889417065,0.2572770737399433,0.26540930408895985,0.2612142575450486,0.26540930408895985,0.2572770737399433,0.26540930408895985,0.259758217564383,0.25975821756438294,0.2663910520408458,0.2873688572460375,0.25975821756438305,0.259758217564383,0.005082,0.004692,0.004171,0.003472,0.004183,0.004924,0.003236,0.004911,0.0052,0.005372,0.003692,0.0025,0.002736,0.003914,0.002523,0.003945,0.003954,0.004452,0.004721,0.003025,0.003483,0.003217,0.004184,0.003499,0.004201,0.004145,0.003205,0.00436,0.003257,0.005404
ionosphere.D157.N351.C2.num,w2v,100,4,0.3035368736994991,0.30479079901630485,0.3035368736994991,0.30414583455571825,0.22484143524931785,0.3035368736994991,0.30479079901630485,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.3047907990163049,0.3035368736994991,0.3035368736994991,0.3047907990163049,0.3035368736994991,0.3035368736994991,0.3035368736994991,0.2620880680710431,0.3035368736994991,0.3035368736994991,0.30479079901630485,0.3035368736994991,0.3047907990163049,0.3035368736994991,0.30479079901630485,0.24587228492224317,0.3035368736994991,0.008474,0.004914,0.002774,0.002299,0.003012,0.003225,0.002531,0.002973,0.002756,0.002528,0.003002,0.006555,0.003226,0.003242,0.002522,0.002775,0.002756,0.00513,0.003742,0.003701,0.003014,0.004003,0.002761,0.002541,0.004686,0.003044,0.002755,0.003016,0.004408,0.003478
iris.D19.N150.C3.num,w2v,100,4,0.750707682008055,0.750707682008055,0.7955436045099343,0.8072122741988297,0.7955436045099343,0.751102548660961,0.750707682008055,0.750707682008055,0.7796403321581349,0.7796403321581349,0.7511025486609609,0.7798095734870608,0.7915999842030735,0.8018454392293102,0.750707682008055,0.7798095734870608,0.7694793453050995,0.750707682008055,0.8020167655639514,0.7955436045099343,0.750707682008055,0.7507076820080549,0.8018454392293102,0.751102548660961,0.8072122741988297,0.7511025486609609,0.750707682008055,0.7796403321581351,0.7511025486609609,0.7999750107704164,0.002019,0.002221,0.001832,0.001981,0.001777,0.002229,0.002423,0.001988,0.001784,0.00199,0.002184,0.001987,0.001789,0.001972,0.002792,0.001981,0.002183,0.002184,0.002203,0.001986,0.00219,0.001983,0.001981,0.002189,0.001994,0.001983,0.002388,0.001773,0.001785,0.001774
led7.D24.N3200.C10.num,w2v,100,4,0.37775234066415636,0.384207491829029,0.3967322899928327,0.3833466104967946,0.384207491829029,0.36628457551373,0.3740734254971449,0.3987941785451249,0.3911598168122684,0.40848005605112214,0.3794636232296483,0.36003793309334653,0.3811104470423863,0.3967322899928328,0.3739422436195622,0.37998757865778754,0.38616245214894546,0.3584313994224063,0.39235356478178063,0.3525848068538246,0.3872457461445469,0.3987941785451249,0.3922242087426158,0.384207491829029,0.37998757865778754,0.3938829655434355,0.39001663527712904,0.38663621854705477,0.39211360115007476,0.3895721852614644,0.009361,0.008058,0.006291,0.007526,0.00671,0.006772,0.006702,0.006249,0.007537,0.006722,0.006706,0.006718,0.006285,0.007949,0.006697,0.006286,0.006617,0.007122,0.006284,0.007527,0.007145,0.006714,0.006686,0.007193,0.006309,0.007638,0.006714,0.006748,0.006687,0.006674
letRecog.D106.N20000.C26.num,w2v,100,4,0.060906875509537495,0.061104972345082297,0.06774544409211912,0.020975400200555768,0.06776697885336176,0.020871800188859927,0.020857924448410343,0.06769989073556848,0.020821813218413553,0.061283429516980764,0.020857924448410347,0.06778297675698808,0.02081150161805694,0.020857924448410347,0.06780493151857556,0.06769545391153341,0.0677454440921191,0.020805766893054193,0.020963953016360993,0.06769989073556848,0.060955658075828555,0.067778163309642,0.020845099207633305,0.06769989073556848,0.06769989073556848,0.06770610042025484,0.06774544409211912,0.06769989073556848,0.020857924448410347,0.02087180018885993,0.040761,0.06429,0.050328,0.042682,0.045215,0.053524,0.054789,0.05444,0.045192,0.049553,0.056612,0.045038,0.041464,0.067652,0.043326,0.042753,0.05219,0.036344,0.04204,0.047968,0.043343,0.039155,0.042719,0.051425,0.050542,0.037576,0.051088,0.05197,0.059608,0.047241
mushroom.D90.N8124.C2.num,w2v,100,4,0.44402616810538675,0.42081497578022836,0.4440261681053868,0.477682890606204,0.4439945138444623,0.4440261681053868,0.44402616810538675,0.4208149757802284,0.4440261681053868,0.4440261681053868,0.4172119769895419,0.44402616810538675,0.42081497578022836,0.44402616810538675,0.42081497578022836,0.44399451384446237,0.4208149757802284,0.42081497578022836,0.4440261681053868,0.44402616810538675,0.44402616810538675,0.42081497578022836,0.42081497578022836,0.4208149757802284,0.4208149757802284,0.4439945138444623,0.4649405651361674,0.4440261681053868,0.477682890606204,0.4208149757802284,0.012041,0.029658,0.017023,0.012086,0.01284,0.01462,0.015541,0.030621,0.013511,0.013549,0.012768,0.015729,0.029499,0.014997,0.030723,0.013508,0.015521,0.015102,0.01866,0.014574,0.015259,0.02926,0.029804,0.027439,0.012318,0.01227,0.012207,0.017973,0.010969,0.029798
nursery.D32.N12960.C5.num,w2v,100,4,0.17780772155000313,0.1826489923251372,0.18278324411392935,0.1756259966190132,0.1781235153754044,0.18052832183210646,0.17620933071356812,0.1739724303392349,0.17773910106086147,0.1766904563553504,0.17757415287843142,0.1762377961633066,0.17477403749192558,0.17337751451670133,0.17609296004507385,0.17489725584098004,0.17780772155000313,0.17686947879206438,0.17771575291271755,0.1774595947528339,0.17338542159241402,0.18052832183210643,0.17372130863038204,0.17357990043505175,0.1739051664277312,0.1764990018129153,0.1804313934733835,0.1775285603489127,0.17605261171077372,0.17780772155000313,0.050965,0.037283,0.048855,0.04191,0.030594,0.046711,0.035131,0.041351,0.041331,0.048881,0.050367,0.044401,0.054024,0.037539,0.036811,0.049885,0.063302,0.036538,0.03883,0.032595,0.03501,0.044551,0.035422,0.038615,0.034596,0.044486,0.045787,0.043289,0.031886,0.050592
pageBlocks.D46.N5473.C5.num,w2v,100,4,0.24064874554538318,0.2360044211753934,0.1691622270943579,0.07507272215175592,0.24064874554538318,0.23706194435002953,0.2370619443500295,0.24064874554538318,0.2370619443500295,0.07507272215175591,0.09949279980693478,0.25835907526241286,0.047600748479237294,0.2370619443500295,0.07507272215175591,0.2595800119657172,0.23600442117539341,0.27495043195288427,0.24064874554538318,0.25958001196571723,0.23600442117539341,0.23600442117539333,0.24064874554538318,0.09038453771420582,0.24064874554538318,0.07507272215175592,0.09949279980693478,0.2360044211753934,0.24064874554538318,0.23706194435002956,0.007132,0.008112,0.00815,0.009938,0.008095,0.008131,0.008146,0.00811,0.009935,0.008157,0.008112,0.007662,0.007813,0.00812,0.008113,0.007671,0.008102,0.008565,0.008233,0.008125,0.0081,0.008118,0.008108,0.008704,0.008139,0.008116,0.008091,0.008122,0.008098,0.009042
penDigits.D89.N10992.C10.num,w2v,100,4,0.37426302790935445,0.4047163341575827,0.37426302790935445,0.40394785906652375,0.37426302790935445,0.37426302790935445,0.3742630279093544,0.40394785906652386,0.3745475103276476,0.37454751032764755,0.45936634585915675,0.4594994308834145,0.37426302790935445,0.3742630279093544,0.3742630279093544,0.3742630279093544,0.37454751032764755,0.37426302790935445,0.37454751032764755,0.37426302790935445,0.3742630279093544,0.4594994308834146,0.37426302790935445,0.37444277249652397,0.3742630279093544,0.3742630279093545,0.37426302790935445,0.4105316532771402,0.3742630279093544,0.37426302790935445,0.02493,0.019293,0.028265,0.02532,0.02457,0.031389,0.024391,0.02192,0.023698,0.021421,0.018248,0.022067,0.031776,0.033142,0.029061,0.029828,0.022486,0.022134,0.021146,0.036682,0.032376,0.018769,0.028582,0.021375,0.022725,0.033854,0.037542,0.021179,0.033519,0.037233
pima.D38.N768.C2.num,w2v,100,4,0.017476315576279742,0.018909677917137387,0.01546511181474833,0.01361699603726391,0.01592662346560709,0.012477290495078607,0.026526242697747383,0.016436411967941055,0.015853467551958947,0.01546511181474833,0.018909677917137387,0.026526242697747383,0.016258812029614853,0.014710730834555723,0.014963009662063856,0.025286657162428776,0.016436411967941055,0.01592662346560709,0.015853467551958947,0.015853467551958947,0.027774932397047914,0.019482660215628805,0.016436411967941055,0.014715952701445911,0.025722465309696924,0.020146776152508865,0.01592662346560709,0.01990967361011354,0.0863616580591919,0.01592662346560709,0.006352,0.003572,0.003578,0.002761,0.00329,0.003562,0.003599,0.002752,0.00278,0.003308,0.003295,0.003573,0.003031,0.003026,0.003032,0.00276,0.002768,0.002775,0.002762,0.002766,0.004387,0.003548,0.002782,0.003017,0.003566,0.003047,0.00307,0.004642,0.003056,0.003033
ticTacToe.D29.N958.C2.num,w2v,100,4,0.0076491546038921065,0.005554571581898613,0.005269015358947038,0.0011477985077424687,0.0009228474551105101,0.004947123826453986,0.004140582742291902,0.0012971584616208863,0.002167610683226519,0.0032044745324864244,0.007554040632436599,0.004185825106536433,0.0032981511338798066,0.003515559197677738,0.00828790385523422,0.002455831492377586,0.006828534402567734,0.0005478616566974541,0.00217845896480429,0.006561917521055887,0.002196318795460915,0.004660273039150677,0.003525385456721378,0.0016082399126653069,0.004145104062618827,0.0011842216484591393,0.0030363066343821925,0.004943730481400242,0.002773064813328144,0.002136438288301466,0.009178,0.011652,0.005285,0.009761,0.005851,0.006514,0.007717,0.006149,0.007744,0.007438,0.008262,0.009601,0.009793,0.008567,0.007307,0.008195,0.009871,0.004767,0.00681,0.008169,0.013386,0.017452,0.010545,0.011186,0.007262,0.00592,0.006421,0.010123,0.006869,0.007179
waveform.D101.N5000.C3.num,w2v,100,4,0.32116433986269904,0.3175141774948703,0.38199260509516136,0.3184351892694057,0.3211810553489079,0.38199260509516136,0.38199260509516136,0.3216368601452548,0.3213958690515248,0.3192829286048535,0.3213958690515248,0.3211810553489079,0.3763116151202386,0.3175141774948703,0.3184351892694057,0.32116433986269904,0.3139805001035081,0.3184351892694057,0.38199260509516136,0.3819926050951613,0.3213966458727046,0.38199260509516136,0.3175141774948703,0.32139586905152473,0.313421332902651,0.3175141774948703,0.32139586905152484,0.32125026863216277,0.3175141774948703,0.3216227109713533,0.010425,0.022036,0.018463,0.01647,0.013494,0.018336,0.018374,0.013046,0.014783,0.012456,0.023362,0.013974,0.011849,0.029752,0.015323,0.013642,0.011663,0.016891,0.015086,0.018439,0.013478,0.017052,0.022804,0.017435,0.016173,0.026678,0.014619,0.012513,0.027283,0.013271
wine.D68.N178.C3.num,w2v,100,4,0.6466676845861006,0.6466676845861006,0.6466676845861006,0.661219814709327,0.6486462687273995,0.6466676845861006,0.6466676845861006,0.6466676845861006,0.6466676845861006,0.6583799899438105,0.6466676845861006,0.661219814709327,0.6466676845861006,0.6466676845861006,0.6612198147093271,0.6466676845861006,0.6754919248979687,0.6466676845861006,0.6466676845861006,0.6466676845861006,0.6612198147093271,0.6612198147093271,0.6398048439929198,0.6754919248979687,0.6612198147093271,0.6583799899438105,0.6612198147093271,0.6466676845861006,0.6486462687273995,0.6466676845861006,0.005017,0.004517,0.004938,0.002256,0.003063,0.003702,0.00535,0.005545,0.004946,0.002245,0.003766,0.002245,0.00619,0.003268,0.002447,0.0045,0.002461,0.004322,0.002466,0.002651,0.002241,0.002684,0.002046,0.002253,0.002883,0.002673,0.002456,0.004965,0.003076,0.00473
