dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,Glove,50,8,0.10742374040263698,0.10704043011526161,0.10678489544272397,0.10455358277182057,0.10447473890887164,0.10562844482663175,0.10689648886849658,0.10353136895060948,0.10646341321461006,0.10414991527233192,0.106491463081573,0.10677858967504605,0.10638482461537033,0.10705114991060166,0.11044286389347018,0.1101993840692669,0.11544264027783743,0.10728810372037458,0.10838148128148453,0.10656065702944918,0.10879406576765414,0.10408182571083607,0.10928617447900221,0.10257109259453354,0.11256526620267195,0.10399349244761519,0.10625624310634207,0.1055512785153002,0.10393327954745543,0.10365060261653626,0.073997,0.065627,0.078943,0.07883,0.091325,0.073862,0.071264,0.079835,0.09399,0.078392,0.066745,0.07167,0.085632,0.098232,0.085452,0.146001,0.110922,0.102457,0.098423,0.102688,0.081279,0.108452,0.079578,0.074314,0.071114,0.067336,0.063139,0.064358,0.117407,0.059879
anneal.D73.N898.C6.num,Glove,50,8,0.09435941968991624,0.08042896350803551,0.09173468608462579,0.09254764576328091,0.10090645970098025,0.09266588039397436,0.08452946209999561,0.09435941968991624,0.09228455014380392,0.10496783783960816,0.09315563345774522,0.09491544847825148,0.07869594622465742,0.08804293379363572,0.09293256798185379,0.0891353408570974,0.09254764576328094,0.08639386698226396,0.09251547070078268,0.09289404222297717,0.0880429337936357,0.09222424741885135,0.09744578074311692,0.0931689870584643,0.0922209001049762,0.09761778777502735,0.09481811469828526,0.08588682121726628,0.08916155902036287,0.09499209843600115,0.008392,0.004011,0.004278,0.003533,0.006489,0.00526,0.005053,0.007294,0.004499,0.00447,0.004031,0.004794,0.005378,0.006999,0.005426,0.007871,0.005699,0.005852,0.006938,0.008352,0.006221,0.005878,0.00433,0.008677,0.004314,0.004506,0.005368,0.007025,0.0068,0.005283
breast.D20.N699.C2.num,Glove,50,8,0.3576360438118085,0.34615223782238597,0.36668220038241167,0.3566248555089328,0.3570734998182808,0.3665515133227162,0.3584698659790312,0.3703222990445435,0.3461522378223858,0.35432560779076894,0.36655151332271624,0.35918389920362287,0.34615223782238586,0.3671886587769442,0.3489014021618436,0.3539469584676436,0.34615223782238597,0.3545932355386696,0.3570734998182808,0.3552489756362573,0.35524897563625724,0.3565942121404073,0.3565942121404073,0.35380602005376555,0.35363831250927374,0.3498111535634795,0.3589420020598804,0.35170367255129603,0.3597475961033529,0.3568050908879769,0.008712,0.003612,0.004284,0.007953,0.007997,0.007453,0.007493,0.006044,0.002547,0.002746,0.002561,0.002753,0.002538,0.002751,0.002563,0.002979,0.002538,0.00255,0.002754,0.002764,0.002753,0.003023,0.002925,0.002543,0.003181,0.003156,0.002542,0.002764,0.002778,0.002936
chessKRvK.D58.N28056.C18.num,Glove,50,8,0.08688577159828846,0.10225798385502544,0.08153156355293108,0.08691209399778924,0.09154643094427573,0.08953737700174684,0.07864661970742229,0.08795477312262129,0.10230453873714014,0.10085941202323617,0.0923916472397812,0.09822365122780959,0.09744479356441593,0.09868069325303455,0.09171278303892373,0.10229813531658218,0.10214820943462889,0.10229734821373924,0.0868626403567933,0.09972950806860387,0.10218986772956641,0.09205886469959311,0.1022828750682702,0.08834573050191719,0.08705449522516137,0.08820158255515274,0.08801652223918166,0.10225949443630006,0.10224978651922502,0.09472054321902816,0.065966,0.073538,0.062621,0.066889,0.103179,0.068828,0.063608,0.061048,0.057497,0.108925,0.091433,0.055811,0.047185,0.102134,0.061026,0.059407,0.071962,0.071544,0.058222,0.05949,0.056386,0.056321,0.07539,0.051712,0.059644,0.062566,0.06105,0.06038,0.067318,0.061525
connect4.D129.N67557.C3.num,Glove,50,8,0.0018615249090065589,0.0011476544224100623,0.0018098779230324145,0.0019468338738753582,0.0018080315420513043,0.0017824600260617509,0.0019561839925726957,0.001840819639009559,0.0017216990037234926,0.0020391882433827414,0.0011533507839464985,0.0011538413186917907,0.0018619938200759238,0.0018593973967340192,0.001956246662587361,0.0011538413186917907,0.0011529495322310074,0.0017999575464506944,0.0020269031485326606,0.0018807045800197542,0.001806660428517701,0.0018124086559381176,0.0018072192085897005,0.0018010886704988892,0.001957431826635665,0.0017831960038985693,0.001986392606394356,0.0018465030093637242,0.0018029518847474141,0.0019533043423064283,0.279217,0.352028,0.246434,0.172326,0.300352,0.284916,0.240295,0.257083,0.307829,0.226851,0.362875,0.393665,0.139887,0.296159,0.169306,0.295651,0.343352,0.21164,0.156593,0.260535,0.266275,0.293314,0.1582,0.178074,0.213315,0.204674,0.234336,0.244819,0.228349,0.372533
heart.D52.N303.C5.num,Glove,50,8,0.1594044190587198,0.15660005027486248,0.18609698379286774,0.1483173732131738,0.1595550688869567,0.1943323909230789,0.16265496658372824,0.1613131813775701,0.1844197887751419,0.14753628709206068,0.15405462630543798,0.16469442460684727,0.18109025666783404,0.17866410781378123,0.17438374850984495,0.15478501839184253,0.17028615282767884,0.1549712169569844,0.14996645353271834,0.17891453653154937,0.18451547930779202,0.17556743192071206,0.16799014684956373,0.1587551775969286,0.15504943638791305,0.1512690334850302,0.1825420449827404,0.1745063923352346,0.16631066867043046,0.16523128944686802,0.010096,0.005743,0.011534,0.003089,0.004617,0.003715,0.004713,0.003512,0.003673,0.004317,0.003907,0.003076,0.003271,0.003284,0.003869,0.003311,0.003294,0.003464,0.002718,0.004491,0.003339,0.005824,0.003533,0.004883,0.006995,0.013733,0.002924,0.004089,0.004099,0.004487
ionosphere.D157.N351.C2.num,Glove,50,8,0.09599120438981601,0.09174628169541926,0.0896070930858534,0.08773754058679237,0.09189484306954206,0.07333052965861736,0.07679237552981359,0.10104112365364153,0.09651493680648997,0.09095411845362589,0.10506831981692137,0.09779289649997902,0.09402059601966932,0.09277063184473937,0.08231613977587571,0.09419722302757126,0.09297268535451611,0.08773754058679237,0.0931945158483502,0.09931387008793591,0.09595570407612598,0.08746696669055276,0.09561367397587224,0.09566691103454308,0.09898728230470118,0.07755927800912156,0.09154839819116743,0.10348803696733001,0.08782122319782978,0.08773754058679237,0.003127,0.004264,0.004656,0.003336,0.003897,0.003489,0.005111,0.00352,0.003131,0.003913,0.003116,0.003308,0.004449,0.003895,0.003538,0.005511,0.004802,0.004266,0.002931,0.003291,0.003707,0.004924,0.003877,0.004268,0.003294,0.003713,0.003327,0.003477,0.003325,0.004857
iris.D19.N150.C3.num,Glove,50,8,0.6731054379259891,0.6509016811339525,0.6302199023725588,0.6336065607118643,0.6501760989081858,0.6368535873143053,0.6432287250046913,0.6307447634262155,0.624851085166435,0.6877893991257314,0.6665318080650399,0.6248510851664347,0.6678017100362236,0.6154131013891202,0.6617520086821588,0.6727562404415623,0.6431956732015287,0.6603449829573671,0.6426042054014486,0.679544562744801,0.6456705305843904,0.6574431781935521,0.6397756781016473,0.6704820369800436,0.6578450950975829,0.6715002303045634,0.654743690432995,0.6527752815977823,0.6367732865554819,0.667658923416431,0.002296,0.00226,0.002089,0.002262,0.002264,0.00261,0.002277,0.002107,0.0021,0.002428,0.002759,0.002252,0.002258,0.002267,0.00227,0.002254,0.002259,0.0021,0.002093,0.00226,0.002264,0.002265,0.00227,0.00243,0.002249,0.002259,0.002259,0.002263,0.002262,0.0021
led7.D24.N3200.C10.num,Glove,50,8,0.5169655851621715,0.5004511203928453,0.5035280589822482,0.5146794197602572,0.5026981031820642,0.507727500024268,0.5049298837934644,0.5213537189908621,0.47304328974782006,0.48271443236236267,0.5121911326673444,0.5411459295133415,0.5433121973379746,0.4929563762621263,0.5141899549512257,0.5384895757593645,0.5143158875622615,0.5418452536375754,0.48006744481672065,0.5075799632118944,0.46953197998741164,0.542278930021859,0.48854535912913283,0.5264092137970157,0.5182572525060246,0.5167132935471948,0.5380826966070104,0.49969905181632873,0.5393348829238626,0.508019000449864,0.008072,0.007788,0.005826,0.006306,0.005528,0.005844,0.006278,0.00625,0.007008,0.005459,0.005467,0.006655,0.005488,0.005899,0.005497,0.005486,0.005432,0.005522,0.006635,0.006756,0.005499,0.005464,0.005927,0.005852,0.00592,0.005543,0.005478,0.005888,0.005425,0.0067
letRecog.D106.N20000.C26.num,Glove,50,8,0.07750690864840601,0.07713078086700387,0.07979964332652638,0.07722299493977879,0.07766954537425294,0.07756198805722346,0.07854844630972788,0.07874260822790892,0.07737027054963674,0.07743979768610489,0.07877001373363138,0.07665893410368169,0.07817932270812813,0.07709144473420075,0.07721387451629166,0.08013773803220078,0.07813518139810836,0.07755047962048904,0.08022262396837397,0.07737027054963673,0.07801577520543303,0.07940960554406837,0.0784842359238587,0.07721369684187893,0.07873095730526262,0.07880798779859007,0.07812193460626447,0.07750690864840601,0.07824412369490175,0.07737027054963674,0.068095,0.050711,0.064242,0.046266,0.051483,0.100947,0.050352,0.061194,0.071465,0.041398,0.078803,0.047831,0.063287,0.050903,0.04847,0.041539,0.049512,0.047013,0.056893,0.082375,0.049524,0.055358,0.038829,0.041091,0.042937,0.04257,0.043902,0.055017,0.054817,0.075572
