dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,w2v,100,16,0.0984023127964,0.10334009636219946,0.09990111945265477,0.10292261261595774,0.10209274632236615,0.10097496634354566,0.10070686608939831,0.10135645853599573,0.10340237341467853,0.10168733241912255,0.10202118320456034,0.10088202054358662,0.10020191360990716,0.10171210572064865,0.10184109763479701,0.10575679130362575,0.10418169035411472,0.1003840413481814,0.0972984083797111,0.10219214359528253,0.10220849081336301,0.10153848369622255,0.10821943775954627,0.10096894706763465,0.1039099846599991,0.1040080447490222,0.09765988226554005,0.1022583550926968,0.10484880661905868,0.09989940602017516,0.249617,0.237846,0.264782,0.272503,0.221649,0.308468,0.333664,0.279707,0.23721,0.25303,0.228056,0.344784,0.244113,0.290899,0.294349,0.235218,0.251422,0.244914,0.365607,0.299588,0.312593,0.303241,0.277572,0.270032,0.242306,0.230473,0.239535,0.213647,0.30899,0.244625
anneal.D73.N898.C6.num,w2v,100,16,0.3173025894603535,0.32669621596163145,0.3082459721995956,0.3262828601610937,0.3548070643507267,0.3155022771579633,0.29435253919480037,0.28206214831882404,0.3218207634861712,0.3684682372306736,0.30680426850757603,0.36850685284353724,0.32365966790750905,0.33768760205462034,0.32087122523732886,0.32022678867619997,0.3320464574134482,0.31337759572303897,0.3240456365103771,0.3151608035575188,0.3629968894136867,0.3008348888646766,0.3089351464061839,0.2874308388293821,0.31681169585706226,0.33755429652540897,0.37620292117059556,0.2950485217417339,0.3202901959676375,0.3011607190847756,0.012464,0.009757,0.009158,0.010114,0.009065,0.009087,0.010799,0.010405,0.010051,0.010955,0.011574,0.017143,0.011211,0.01497,0.009002,0.009027,0.010413,0.009737,0.009446,0.010009,0.009002,0.012464,0.009345,0.009719,0.009366,0.008669,0.013125,0.009,0.010425,0.008717
breast.D20.N699.C2.num,w2v,100,16,0.34708875251189797,0.33694393920603605,0.3309379656061493,0.3321905325165835,0.33778017810350036,0.3519303143907486,0.33879320683928726,0.35426575330900656,0.3528657715039093,0.3384778355839347,0.35467463606260674,0.3490628633258808,0.3346347840399879,0.3381387578507579,0.3384778355839347,0.3482710542988349,0.33368381586095797,0.34058031575875497,0.336118588891786,0.3554364267852195,0.33832491091047545,0.33344430621149046,0.3378745979971551,0.3401868527528966,0.3383535202399531,0.34022691324965054,0.3383535202399531,0.3404414699244211,0.33139799924842284,0.34387506204139445,0.00619,0.006134,0.00647,0.006133,0.006428,0.006421,0.006415,0.006153,0.006631,0.011957,0.013231,0.006454,0.006145,0.006144,0.006413,0.006192,0.006133,0.006139,0.006413,0.006418,0.00612,0.006635,0.006126,0.006147,0.006145,0.006449,0.006188,0.006338,0.006416,0.006437
chessKRvK.D58.N28056.C18.num,w2v,100,16,0.1311324204472504,0.13126983399881761,0.13008872292674215,0.13202467265897927,0.13279420226626232,0.13022368564020456,0.13020213364712005,0.13131930853472784,0.13197552455196004,0.13176423352245745,0.12877952249936064,0.1303148811171967,0.13094869205834067,0.12759401297292292,0.13012810956498197,0.13039505061180912,0.13463120639348236,0.1330370505911251,0.12831747489685252,0.1306512049833949,0.13005682538161192,0.13292053579212687,0.13029777001239579,0.13255313922931358,0.13022534606337854,0.13056013535707625,0.1338065435921133,0.12816598628535236,0.12916264213126027,0.13029326139529296,0.190144,0.118275,0.12457,0.122041,0.14549,0.125285,0.147272,0.159578,0.139237,0.125992,0.126686,0.131633,0.146998,0.139535,0.142623,0.135531,0.212302,0.12854,0.136712,0.12068,0.147467,0.137317,0.159108,0.12447,0.137518,0.112559,0.13096,0.133606,0.109551,0.141271
connect4.D129.N67557.C3.num,w2v,100,16,0.0030854818536884088,0.0033518460664819214,0.003221198501603051,0.0034381929333043328,0.003097230347823582,0.0033679481311125847,0.003431454393008168,0.002902533986865613,0.00322017296649827,0.002943724099536462,0.0030140526233109807,0.0030517501962104344,0.003157334109878736,0.0027876760769985414,0.003361566518889459,0.0029428601579873544,0.0029866081271897817,0.003179136590335583,0.0031403381522066725,0.0029270641006716156,0.003023468751857802,0.0033641911227183133,0.003222802461761202,0.0029115055348302916,0.0033914914013025367,0.003122056255752549,0.002864868184896656,0.003467744363575996,0.0028256172548388942,0.002943724099536462,0.407465,0.409958,0.362664,0.392313,0.420029,0.386385,0.503988,0.362103,0.377582,0.350971,0.389464,0.43249,0.41373,0.391808,0.521375,0.551944,0.454443,0.549178,0.445769,0.425375,0.421414,0.36996,0.408754,0.450738,0.43816,0.748982,0.457887,0.561524,0.445288,0.36399
heart.D52.N303.C5.num,w2v,100,16,0.23406459846342428,0.24377603831766373,0.25500421203391854,0.23408000109177604,0.24429036944086704,0.24116381286606914,0.23108644959565486,0.24883241523121963,0.23421514524955117,0.24431033332421606,0.24635008905848196,0.22689460570960773,0.2425133755209843,0.2272771208314093,0.24215779627978012,0.2302496243997094,0.22822466176589332,0.22216423031622512,0.23064569288486583,0.23608460433167955,0.23882307426728236,0.23265226502697117,0.2337821613019009,0.23530312533318903,0.22336348369922915,0.2554937151926737,0.2427446522465751,0.2437733320015215,0.24295223863417886,0.23340254557300083,0.00919,0.011343,0.015804,0.007809,0.006258,0.007913,0.006266,0.006281,0.006851,0.006828,0.006484,0.006018,0.007051,0.006829,0.007953,0.009009,0.007397,0.007379,0.005986,0.009998,0.007065,0.006287,0.006539,0.006827,0.006277,0.007892,0.0084,0.006275,0.007897,0.006235
ionosphere.D157.N351.C2.num,w2v,100,16,0.24611728162215554,0.2254139330998626,0.25642962105396455,0.25704363538664443,0.22973542246719955,0.25312921314640874,0.2572630214040946,0.24855870765407453,0.22812252516710613,0.23307911109040697,0.25993266921985037,0.2449170590111236,0.22136988377663758,0.23186881071724313,0.25199862283911295,0.26260847880623245,0.27485392654318813,0.23800892071417454,0.2379281268164521,0.25519009403397797,0.22048379470988602,0.23129594160232944,0.2666913217634077,0.2626892313472799,0.24993599031159053,0.2535865069478747,0.261515923933137,0.2513132645484223,0.24764969788131402,0.2248458343831942,0.006085,0.006378,0.006645,0.00745,0.007707,0.00662,0.007736,0.006597,0.006893,0.008511,0.006659,0.009014,0.014278,0.007184,0.006355,0.005766,0.006314,0.00713,0.007146,0.006834,0.00714,0.00882,0.007057,0.007121,0.007114,0.006886,0.007555,0.008234,0.006341,0.006601
iris.D19.N150.C3.num,w2v,100,16,0.5770570986727153,0.5649653645987578,0.5511284712073337,0.5552871919616269,0.561007804330166,0.5793412914876256,0.5525089228449572,0.5920290851543467,0.5886886749878821,0.5763078585360448,0.5720867563268338,0.5701541923828017,0.558641926789209,0.5540932408770712,0.5551006625508139,0.5591598798361171,0.5924849733614345,0.5673209863905633,0.5872464408082742,0.5817853858796578,0.5476126214647895,0.5613855120136467,0.5539366839360762,0.5724570562693065,0.5813761848046164,0.5749970862059001,0.5653582471739339,0.5786517735769527,0.5669883429793007,0.5846877641477306,0.00501,0.004998,0.004517,0.004759,0.00475,0.004553,0.004746,0.00477,0.004779,0.00477,0.004986,0.004785,0.004749,0.004763,0.004748,0.004774,0.00453,0.004765,0.005112,0.004887,0.00477,0.00474,0.004801,0.004757,0.004799,0.004517,0.004993,0.004751,0.004769,0.004757
led7.D24.N3200.C10.num,w2v,100,16,0.49456051888429076,0.48542299371818526,0.4949484339959432,0.5049845487595955,0.48021863373297363,0.4910210721552564,0.48633502383415733,0.4984567171300162,0.48303243667065915,0.48606775852514805,0.5016603285154297,0.48662806886514937,0.4905445000267396,0.48553303608035814,0.4905234193724444,0.49674764908549934,0.4943465525487005,0.47720341983473213,0.4849038556095224,0.5005425624615735,0.4969405852077987,0.49423624250083514,0.49532397081976454,0.48418230449561517,0.4840265868376651,0.49198179605091164,0.49649416266715046,0.4891452964485083,0.49746100576122976,0.4934994361524758,0.016264,0.016658,0.015557,0.016086,0.01554,0.016321,0.015608,0.01604,0.016137,0.016146,0.016642,0.016111,0.018902,0.01725,0.020775,0.016638,0.015558,0.017317,0.015577,0.017201,0.014958,0.015537,0.015519,0.015496,0.016116,0.015555,0.017236,0.01789,0.01609,0.016282
letRecog.D106.N20000.C26.num,w2v,100,16,0.202857507771475,0.19020105412252034,0.19325688641435954,0.2025140817074792,0.19858990330265117,0.2040339300987755,0.20303717986238431,0.2028361083574899,0.20044376440348768,0.1996917402902769,0.20057335439461133,0.2046805795384686,0.2046243000811777,0.19112034539632225,0.19338288501328232,0.20788796741232643,0.20848700056853642,0.20589662391084476,0.1905232177752221,0.2046328581414942,0.1938529554618862,0.199289280180097,0.18670245791251874,0.1966909547982235,0.19282602562153195,0.20664511260479818,0.20537835352881034,0.1957518546414782,0.19153476369958403,0.20554379342367346,0.147462,0.164986,0.113639,0.133179,0.123621,0.121088,0.185788,0.185755,0.199478,0.160837,0.182881,0.14829,0.166478,0.134336,0.129751,0.138892,0.200537,0.144169,0.155438,0.137235,0.165826,0.185064,0.183795,0.16396,0.204344,0.163927,0.165784,0.167239,0.127286,0.166435
