dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,Glove,100,4,0.15488429136573018,0.14688039909974793,0.15001812715877413,0.1547530558628542,0.14510222512153126,0.15827014825647767,0.15786424430652166,0.14688039909974793,0.14701497711774278,0.15440715550869738,0.15001812715877413,0.14510222512153123,0.15827014825647767,0.14977228079738575,0.14512296565964417,0.146819552691609,0.1547530558628542,0.14688039909974793,0.1582646200888251,0.14977228079738575,0.15007648864934736,0.15827014825647767,0.14854046061441284,0.1485404606144128,0.14511526708936817,0.1547305240102865,0.149754522074411,0.14510222512153123,0.15440715550869738,0.1582646200888251,0.109222,0.138653,0.092205,0.110544,0.102445,0.134559,0.110895,0.133996,0.093925,0.11703,0.091958,0.092973,0.135417,0.10791,0.090598,0.11188,0.107732,0.17236,0.117429,0.126954,0.094259,0.120391,0.113098,0.122659,0.093778,0.110594,0.110532,0.09698,0.104375,0.125927
anneal.D73.N898.C6.num,Glove,100,4,0.08223599658176106,0.08789326661309858,0.08524040825348561,0.08524040825348561,0.08533668135115177,0.08722202473573369,0.08223599658176106,0.08524040825348561,0.08533668135115177,0.0852404082534856,0.08223599658176108,0.08524040825348561,0.08524040825348561,0.0852404082534856,0.08533668135115177,0.0852404082534856,0.0852404082534856,0.08524040825348561,0.08524040825348561,0.08223599658176106,0.08223599658176106,0.0852404082534856,0.08524040825348561,0.08524040825348561,0.08789326661309858,0.08524040825348561,0.08533668135115177,0.08533668135115177,0.08394970133909536,0.08524040825348563,0.005089,0.002958,0.005017,0.004446,0.003935,0.003646,0.00491,0.005004,0.003709,0.003201,0.005165,0.004456,0.003967,0.00471,0.003635,0.004947,0.004673,0.004086,0.003563,0.004954,0.004314,0.003865,0.006073,0.005863,0.006472,0.004428,0.00755,0.004904,0.006688,0.006772
breast.D20.N699.C2.num,Glove,100,4,0.423699166817727,0.423699166817727,0.45829998613084155,0.44886268471728274,0.423699166817727,0.43349286609296267,0.45800089170776304,0.44886268471728286,0.42887569902191963,0.4688109080396199,0.46941709169272616,0.45800089170776304,0.44886268471728274,0.45862037788576815,0.44886268471728286,0.4635830683679639,0.46971412721630473,0.44923604206258166,0.423699166817727,0.44923604206258166,0.46717132128089706,0.45829998613084155,0.44378164762695804,0.43159526051935165,0.4728662035590626,0.44886268471728286,0.45710968702145754,0.44886268471728274,0.4488626847172828,0.46027621501353755,0.002251,0.00222,0.002224,0.002217,0.002233,0.002295,0.002586,0.00282,0.004183,0.002514,0.002841,0.002819,0.002829,0.003198,0.002821,0.00285,0.003174,0.003513,0.002842,0.003516,0.003509,0.002835,0.00283,0.002468,0.002231,0.00221,0.002237,0.00222,0.002212,0.002487
chessKRvK.D58.N28056.C18.num,Glove,100,4,0.08965906281647394,0.08966684939821612,0.08969246425285997,0.08965289285270274,0.08965516245813751,0.08966952140272427,0.08971377010615815,0.08970771037720364,0.08968119672013657,0.08965289285270273,0.08969329771994751,0.08970508938128968,0.08965906281647394,0.0896733111300626,0.08969145552316893,0.042971894473981455,0.08971237441234395,0.04283968960588345,0.0896932977199475,0.0897224197258239,0.08970084342924535,0.029322471890572167,0.04275266626089594,0.042845139692276116,0.08971628989653906,0.042910941989056386,0.042797371244073616,0.08966610535233867,0.08971917068951067,0.08971332368070728,0.064529,0.061614,0.054417,0.072594,0.063756,0.064622,0.054317,0.054829,0.067018,0.068634,0.087141,0.049074,0.061913,0.052996,0.055732,0.059315,0.050053,0.059498,0.076259,0.054673,0.055888,0.095883,0.059003,0.051156,0.046806,0.047756,0.059125,0.05904,0.049996,0.05361
connect4.D129.N67557.C3.num,Glove,100,4,0.0008038133085348521,0.000805008579994053,0.0007830560159179639,0.0008038133085348521,0.0007788132767050938,0.0007610003911586198,0.0007610003911586198,0.0007830560159179639,0.0007821855112293562,0.0007825514859091746,0.0007830560159179639,0.0007819732618260405,0.000803094050746779,0.0008029000572123395,0.0007895770102155311,0.0008043965774470066,0.0007830560159179639,0.0008043965774470066,0.0008029000572123395,0.0007795356465773594,0.0007824203226558529,0.0007830560159179639,0.0008043965774470066,0.0008038133085348521,0.0007830560159179639,0.0007785272161833914,0.0008043965774470066,0.0008029000572123395,0.000804144190236173,0.0008043965774470066,0.351028,0.229444,0.367284,0.374536,0.161077,0.351636,0.380342,0.265309,0.176695,0.207652,0.28377,0.249208,0.275899,0.298856,0.177943,0.212878,0.260254,0.224326,0.278375,0.233309,0.226359,0.325906,0.246573,0.293296,0.296207,0.229087,0.313122,0.348875,0.159092,0.280346
heart.D52.N303.C5.num,Glove,100,4,0.16901288116612015,0.15448757725993562,0.15916060940461382,0.15223800518207412,0.16703120466429963,0.16974774622212735,0.15916060940461382,0.14940880204783427,0.15916060940461382,0.15916060940461382,0.15086876570022575,0.164915611796624,0.16901288116612015,0.14940880204783427,0.15916060940461382,0.16604866201475582,0.1591606094046138,0.16797388543782152,0.14940880204783427,0.14940880204783427,0.16533678450116115,0.15289156553427521,0.15916060940461382,0.15032546610031566,0.14940880204783427,0.15916060940461382,0.15223800518207412,0.15086876570022575,0.15916060940461382,0.15916060940461377,0.008638,0.003268,0.00367,0.003434,0.002683,0.002247,0.002876,0.002264,0.002699,0.004846,0.003089,0.002633,0.002883,0.004046,0.003848,0.003724,0.004464,0.002869,0.003059,0.003628,0.002458,0.003604,0.004029,0.0025,0.002478,0.004048,0.003214,0.00304,0.002636,0.004813
ionosphere.D157.N351.C2.num,Glove,100,4,0.06630216288075451,0.05557770135797747,0.05063910467326295,0.09487531269409774,0.06848712539974358,0.07886448297448569,0.0770757471140854,0.05216929315386326,0.0856448548908281,0.033786308088648805,0.04628383163398535,0.09344974647198115,0.0856448548908281,0.062294021129806205,0.08047024734302013,0.10541815058145979,0.05204700845907143,0.07597975831514946,0.054193847818013834,0.04628383163398535,0.06335830218622177,0.08004353446082416,0.05204700845907143,0.09344974647198115,0.08370236600591412,0.04628383163398535,0.04628383163398535,0.0594725482934023,0.08146533522087689,0.06784233942103719,0.002828,0.003816,0.002344,0.003141,0.004109,0.002607,0.004869,0.003172,0.00374,0.002798,0.005986,0.004803,0.004145,0.00192,0.002764,0.002548,0.005038,0.002746,0.003339,0.003776,0.002582,0.002141,0.004014,0.003766,0.002527,0.003977,0.003712,0.002977,0.003136,0.002755
iris.D19.N150.C3.num,Glove,100,4,0.765182387621307,0.770103132443376,0.8005703488159996,0.7796403321581351,0.751102548660961,0.7705979962839502,0.7888234834005486,0.8094377294488002,0.7822794434220054,0.7669269847833177,0.7651823876213069,0.7509822707694805,0.7970979373876617,0.7976923706291906,0.7888234834005486,0.7688121297317746,0.8094377294488001,0.7554185866660381,0.7509822707694804,0.7796403321581351,0.7781083778932278,0.7688121297317747,0.7688121297317746,0.7806874662239347,0.7688121297317746,0.7691347126078425,0.7669269847833177,0.7651823876213071,0.8041376251565404,0.8263153383609954,0.001505,0.00148,0.001964,0.001636,0.001821,0.001637,0.001963,0.001649,0.001805,0.00164,0.001633,0.001648,0.001632,0.001632,0.001801,0.001998,0.00167,0.001637,0.001801,0.001639,0.001966,0.001967,0.001968,0.001988,0.002302,0.001632,0.001643,0.001644,0.00163,0.001628
led7.D24.N3200.C10.num,Glove,100,4,0.4156134178488223,0.4082301933328327,0.34729888024308697,0.3458078738369649,0.3896376467279808,0.37097878553287694,0.4082301933328327,0.3154985079552677,0.3173791654150897,0.3691401466431641,0.35116560991745427,0.36028762969589423,0.3471109826498784,0.3677662277271762,0.41402224027037043,0.3466963527066035,0.4082301933328328,0.36900358483212625,0.41658559556496716,0.3784776253215494,0.31397782564241133,0.36240118744095384,0.4082301933328328,0.4141770637015707,0.4001553573676076,0.3382799113188808,0.34464181132013505,0.34106848313104665,0.33889867416572045,0.3834782210504253,0.00713,0.00642,0.006444,0.005549,0.005611,0.00758,0.005955,0.005955,0.005673,0.005637,0.005652,0.005561,0.005657,0.006033,0.00521,0.006391,0.005924,0.005932,0.005942,0.00564,0.005562,0.005987,0.005586,0.006024,0.005157,0.005991,0.005942,0.007229,0.005648,0.005626
letRecog.D106.N20000.C26.num,Glove,100,4,0.05736381445872726,0.057367079467589996,0.05736381445872726,0.057367079467589996,0.05736381445872726,0.05736381445872726,0.057367079467589996,0.05736381445872726,0.057363814458727264,0.057363814458727264,0.05736381445872726,0.05736008487244038,0.05736008487244038,0.057395175375233816,0.05736381445872726,0.057395175375233816,0.057360084872440396,0.05736381445872726,0.05736381445872726,0.05736381445872726,0.05736008487244038,0.05736008487244038,0.05736008487244038,0.05736008487244038,0.05736381445872726,0.05736381445872726,0.05736381445872726,0.05736008487244038,0.05736381445872726,0.05736381445872726,0.053808,0.035589,0.050926,0.034002,0.049206,0.030596,0.031969,0.043078,0.048495,0.050706,0.047608,0.039386,0.044698,0.029904,0.051137,0.035958,0.037565,0.051787,0.051315,0.058963,0.030656,0.028103,0.034112,0.029495,0.047203,0.048875,0.043658,0.03486,0.048686,0.050048
