dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,RT_01,RT_02,RT_03,RT_04,RT_05
T100k.D2k.L50.P0.O0.C6.data,tk,0,8,0.8495525957784364,0.8521245135420105,0.8625587739191719,0.947756514225108,0.8623507120525187,42.189475,1900.065142,42.652879,98.681741,229.300325
T100k.D2k.L50.P0.O10.C6.data,tk,0,8,0.9553237127266636,0.8566959868178933,0.9381411354811094,0.8597880748106487,0.9484033484908513,60.667911,43.235225,60.311478,1942.391064,59.96098
T100k.D2k.L50.P0.O20.C6.data,tk,0,8,0.7250889438071678,0.940098075127496,0.733716876213904,0.9376072313038316,0.9365806520534962,65.941308,86.505915,61.273687,64.980748,64.649155
T100k.D2k.L50.P0.O30.C6.data,tk,0,8,0.9403813992734958,0.8449921260506248,0.9334369758555872,0.8957223283387022,0.8363271557566743,63.937176,32.871086,48.633264,49.54366,69.915966
T100k.D2k.L50.P10.O0.C6.data,tk,0,8,0.9348654167060656,0.9333480694522821,0.9339330626028055,0.7080663623850976,0.9428817239100652,92.609983,46.498773,46.373816,209.517403,183.997289
T100k.D2k.L50.P10.O10.C6.data,tk,0,8,0.9733991490494417,0.9318152601961921,0.7123086341904425,0.9298108061963537,0.9447490404717076,61.164102,81.061424,61.754749,40.564786,60.874578
T100k.D2k.L50.P10.O20.C6.data,tk,0,8,0.9368649730501194,0.5006534600431192,0.9393771859744421,0.9535174975228552,0.7165504737087435,91.583244,68.797852,161.159233,91.54286,69.369488
T100k.D2k.L50.P10.O30.C6.data,tk,0,8,0.9353676371943924,0.9322336820609908,0.9371679236470787,0.7565341201035677,0.7144362837759752,73.733091,72.444739,54.416348,111.220933,91.354746
T100k.D2k.L50.P20.O0.C6.data,tk,0,8,0.7119269264586476,0.743555016898747,0.5092292256481992,0.9379290186449347,0.7562681934693001,82.651878,102.993275,61.994182,82.823057,62.329874
T100k.D2k.L50.P20.O10.C6.data,tk,0,8,0.6679009613584533,0.9401808299150693,0.7049595832516746,0.7101438802201993,0.7280039263919851,39.99743,60.742434,60.416816,59.757609,80.512551
T100k.D2k.L50.P20.O20.C6.data,tk,0,8,0.9486293498483628,0.7740300656433701,0.760272172676634,0.9474645218244592,0.5985690506513011,116.979699,58.566604,58.822092,57.713473,98.340894
T100k.D2k.L50.P20.O30.C6.data,tk,0,8,0.9456386406844619,0.7369376088211652,0.7127379936713761,0.7352178736464494,0.9596378014900115,76.638655,57.216974,75.66734,77.605976,57.378238
T100k.D2k.L50.P30.O0.C6.data,tk,0,8,0.936880293329669,0.7301256989986284,0.5299027821026391,0.7322342561251834,0.5072936992755775,103.172191,129.52285,103.049118,127.715999,287.440655
T100k.D2k.L50.P30.O10.C6.data,tk,0,8,0.9383436593431485,0.6870572489995304,0.7201722929872483,0.7105373358669224,0.729781202149879,38.892352,56.83617,81.184329,103.276794,59.580142
T100k.D2k.L50.P30.O20.C6.data,tk,0,8,0.7058231861791824,0.9401882617590789,0.9550447868058749,0.9358443670672064,0.9636401812145748,98.646577,81.006044,100.122209,40.114658,223.03117
T100k.D2k.L50.P30.O30.C6.data,tk,0,8,0.9272273084246844,0.9335197867641116,0.947702724536974,0.9301929791456067,0.9395957492811217,109.706968,87.390016,67.514913,88.011133,86.718166
T100k.D2k.L50.P40.O0.C6.data,tk,0,8,0.7123070858319819,0.9369211437268724,0.9368802996322111,0.7228370948422501,0.9350036763028811,91.511904,90.2892,137.690896,110.440831,89.628263
T100k.D2k.L50.P40.O10.C6.data,tk,0,8,0.6932842153977398,0.9366870570116022,0.6581312817506801,0.7050672150389317,0.7350731837748504,309.240226,178.907808,77.887765,281.105451,207.724856
T100k.D2k.L50.P40.O20.C6.data,tk,0,8,0.9397834310893156,0.9428631961353473,0.9360959041254318,0.9542493233261633,0.7251156439528775,57.97199,57.929163,76.077063,57.866816,59.895971
T100k.D2k.L50.P40.O30.C6.data,tk,0,8,0.9526680509787094,0.7048854891390101,0.8491461487477394,0.9427133320948435,0.934049649593791,85.845213,88.04778,112.154384,89.746994,65.764069
T100k.D2k.L50.P50.O0.C6.data,tk,0,8,0.7537416784334053,0.9462525083000245,0.7198074771889527,0.942001970051048,0.9439487469193083,284.670999,102.290842,181.852828,126.371043,101.275709
T100k.D2k.L50.P50.O10.C6.data,tk,0,8,0.769942739605603,0.7007337821758671,0.5518829425692228,0.9410770357197518,0.533022427064866,90.033693,89.873506,91.623101,105.737932,109.858585
T100k.D2k.L50.P50.O20.C6.data,tk,0,8,0.7044184697187429,0.9408733941398285,0.510099597371592,0.7179125320396913,0.5046817842594818,89.581104,53.942992,90.577431,53.904802,72.817414
T100k.D2k.L50.P50.O30.C6.data,tk,0,8,0.6851461332220838,0.9485648762227724,0.7261950378546458,0.9429672392542774,0.717386384503823,86.565893,108.859065,109.687268,64.875513,86.295223
