dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,RT_01,RT_02,RT_03,RT_04,RT_05
T100k.D2k.L50.P0.O0.C6.data,tk,0,6,0.8996374354014862,0.7751429994841265,0.9064206326505736,0.9046390373614953,0.9038302543161466,62.166121,65.065587,41.897717,41.861172,64.119274
T100k.D2k.L50.P0.O10.C6.data,tk,0,6,0.7590624292142504,0.8988154771154877,0.9072912687088952,0.8970198923917813,0.7893012919078553,67.748774,1927.214691,63.565802,78.681526,1929.026461
T100k.D2k.L50.P0.O20.C6.data,tk,0,6,0.7785073070723143,0.9022626922992377,0.906885719226614,0.9005000443685036,0.9078721940069681,65.784248,45.458905,45.553551,46.223004,2061.392562
T100k.D2k.L50.P0.O30.C6.data,tk,0,6,0.8935535402085959,0.8674720846587353,0.7667194381065131,0.8856916112655339,0.7589385020128412,69.102507,63.434069,48.011895,67.781474,71.551657
T100k.D2k.L50.P10.O0.C6.data,tk,0,6,0.5259474267620606,0.999943479687081,0.36187157174963014,0.8973253063747894,0.8874228156890785,69.130357,163.255179,94.860377,97.43695,117.907195
T100k.D2k.L50.P10.O10.C6.data,tk,0,6,0.7204345967971664,0.57610195796752,0.5642474282722623,0.7816871927038327,0.7669132281022099,79.76012,61.985765,62.001516,61.996939,61.626821
T100k.D2k.L50.P10.O20.C6.data,tk,0,6,0.7537307145204191,1.0,1.0,0.7758804591467124,0.5376438595808534,70.74139,69.505605,91.550923,46.679368,69.20164
T100k.D2k.L50.P10.O30.C6.data,tk,0,6,0.5933561617176125,0.5278037195250105,0.8022268369799341,0.5597158970002105,0.7452271274663145,38.115214,71.719135,37.249284,36.901472,54.701222
T100k.D2k.L50.P20.O0.C6.data,tk,0,6,0.7718797402183921,0.7667646386270306,0.7624343226255939,0.7535515664901729,0.801639800682091,42.111396,62.128182,62.373729,62.931666,82.688297
T100k.D2k.L50.P20.O10.C6.data,tk,0,6,0.7674411761668195,0.7757682720962275,0.5784754363569623,0.7074594514901082,0.5199681314990169,60.219354,40.716906,102.757386,59.406949,40.613788
T100k.D2k.L50.P20.O20.C6.data,tk,0,6,0.47359382295176655,0.7193718351811458,0.8215316780325167,0.5735834908848542,0.7294636478181985,56.648326,38.490203,78.440869,78.446969,57.443713
T100k.D2k.L50.P20.O30.C6.data,tk,0,6,0.7702701562034532,0.7878438761226406,0.5438535227917611,0.7548508221420355,1.0,77.07236,116.256794,57.017627,56.616735,38.838897
T100k.D2k.L50.P30.O0.C6.data,tk,0,6,0.5475926261843324,0.7671994197272665,0.7677527467062113,0.5466591377755136,0.9998916855084433,105.512151,104.980246,236.783682,104.518788,77.825287
T100k.D2k.L50.P30.O10.C6.data,tk,0,6,0.9998760913204309,0.7750714882860518,0.5228087578822176,0.369798102368336,0.7588838943376305,58.935575,96.923672,58.040556,59.510024,58.490597
T100k.D2k.L50.P30.O20.C6.data,tk,0,6,0.7551745531983147,0.7421662823819669,0.5410471606143062,0.7563987481243571,0.5268315713905594,60.903991,103.253125,62.802978,139.224471,41.338032
T100k.D2k.L50.P30.O30.C6.data,tk,0,6,0.5058394150559966,0.9999392897096174,0.5260013849218051,0.9999392897096174,0.9999392897096174,67.788532,90.037499,64.415146,86.952053,66.331176
T100k.D2k.L50.P40.O0.C6.data,tk,0,6,0.3437893409398964,0.7526796344121437,0.7523767614098018,0.528659170053801,0.550658878477728,89.198153,63.902779,87.360102,301.655997,94.563347
T100k.D2k.L50.P40.O10.C6.data,tk,0,6,0.5952372477356035,0.7670373584200832,0.8939427040629455,0.5557794555644742,0.7511159921714013,175.196924,114.084114,289.901076,171.328718,116.832099
T100k.D2k.L50.P40.O20.C6.data,tk,0,6,0.7516297451356259,0.7671482430513111,0.7703010656543693,0.5042357118376717,0.7770945699437972,60.189326,60.682617,61.208117,78.787148,58.675044
T100k.D2k.L50.P40.O30.C6.data,tk,0,6,0.5452913597039762,0.5588402691860016,0.7271637684716515,0.7658182858707769,0.5551309316055698,67.792785,69.092342,89.540109,132.26756,112.844878
T100k.D2k.L50.P50.O0.C6.data,tk,0,6,0.7986567955823028,0.765071604327298,0.7559641979445145,0.7908738600974132,0.8861958324548653,205.373264,103.317712,77.8825,240.128135,104.950424
T100k.D2k.L50.P50.O10.C6.data,tk,0,6,0.6079192269805567,0.9988274953017927,0.5171434025058967,0.6690207070653851,0.9988274953017926,110.945622,53.500166,54.118934,77.661723,70.99901
T100k.D2k.L50.P50.O20.C6.data,tk,0,6,0.5971205001466205,0.5622166981329376,0.5490482755844276,0.7310396064769837,0.594376547790765,55.748527,55.609867,73.288513,54.15022,55.78587
T100k.D2k.L50.P50.O30.C6.data,tk,0,6,0.5259673819780544,0.5254210873298257,0.4009783496455709,0.9988533630381763,0.5266420042807384,65.42999,65.678052,134.934494,109.584187,66.010259
