dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,RT_01,RT_02,RT_03,RT_04,RT_05
T100k.D2k.L50.P0.O0.C6.data,tk,0,4,0.8047390911383465,0.640900138847932,0.820765743492256,0.3846113904206084,0.8306301795071801,63.584805,41.088415,39.61145,82.082113,38.024034
T100k.D2k.L50.P0.O10.C6.data,tk,0,4,0.6468362446328004,0.593418902634283,0.6027954887314492,0.8510748784779918,0.6505608219940442,60.039216,39.731846,40.743136,66.186225,61.566287
T100k.D2k.L50.P0.O20.C6.data,tk,0,4,0.8319436124362544,0.6545696667886395,0.6565321212957395,0.6117798532425391,0.7951648588709902,60.854247,46.571964,2334.346575,41.606589,82.005611
T100k.D2k.L50.P0.O30.C6.data,tk,0,4,0.6765176710111778,0.6562393389687381,0.665299185774763,0.6632103497435646,0.6497601621623721,55.728564,32.898406,51.491409,33.835209,33.543035
T100k.D2k.L50.P10.O0.C6.data,tk,0,4,0.395557745866586,0.647605190383603,0.6502362152962785,0.6239988966736457,0.6267214046280637,71.772782,117.377053,71.538515,72.255066,72.035251
T100k.D2k.L50.P10.O10.C6.data,tk,0,4,0.550107517578569,0.5884117695107918,0.5973405497139911,0.5995761686949712,0.7204003297998964,60.863895,61.916216,61.985226,83.605335,65.718933
T100k.D2k.L50.P10.O20.C6.data,tk,0,4,0.3616550600108273,0.39530125633530805,0.5848726200868012,0.6106232492315148,0.6088583276148914,68.955679,47.881656,70.323978,68.871691,117.653017
T100k.D2k.L50.P10.O30.C6.data,tk,0,4,0.624666083767867,0.6846477194881807,0.5432581257086162,0.6507055602880839,0.36860579764184587,56.074262,57.917777,55.214888,37.622308,72.079262
T100k.D2k.L50.P20.O0.C6.data,tk,0,4,0.38927145474693925,0.5341267077141306,0.32296274272159,0.55674141295671,0.7141333299808984,63.851038,63.03807,41.409369,63.413801,84.553812
T100k.D2k.L50.P20.O10.C6.data,tk,0,4,0.3519805402408077,0.6281328329673626,0.6211482383413389,0.37940623138863266,0.5897334546671839,83.57964,62.588708,63.448262,63.996071,62.42227
T100k.D2k.L50.P20.O20.C6.data,tk,0,4,0.35305339230230265,0.51748564433216,0.5908893842481144,0.5943587626646807,0.3599682784579791,59.55014,57.520546,118.154147,60.141652,78.467762
T100k.D2k.L50.P20.O30.C6.data,tk,0,4,0.6045303986779424,0.5641441759089064,0.6067738226981251,0.5921760027385252,0.5708894686615762,58.141379,39.951739,39.620559,58.434029,57.454318
T100k.D2k.L50.P30.O0.C6.data,tk,0,4,0.6143212532494859,0.5974000573066247,0.7410772116321597,0.6089964933329147,0.6090601427481315,160.792923,133.819209,82.350017,81.704969,108.937761
T100k.D2k.L50.P30.O10.C6.data,tk,0,4,0.5824011184663769,0.5723787101481888,0.6052367129496864,0.4885305758255835,0.6107231277507046,77.633213,58.770681,60.216091,63.389739,60.102114
T100k.D2k.L50.P30.O20.C6.data,tk,0,4,0.7232445590703735,0.574728070823929,0.5746652644957118,0.5926309802495863,0.594954478557099,66.676237,62.004015,41.792996,43.002897,42.932345
T100k.D2k.L50.P30.O30.C6.data,tk,0,4,0.6055060810325794,0.6546124503891384,0.6546124503891384,0.5521366154739826,0.6193788049741846,69.690179,69.475143,48.642412,65.667441,92.615415
T100k.D2k.L50.P40.O0.C6.data,tk,0,4,0.5972617295610763,0.5533574795025328,0.6098151662036247,0.6282127963337846,0.3636571744078329,115.113099,117.164707,69.567232,91.494855,92.067244
T100k.D2k.L50.P40.O10.C6.data,tk,0,4,0.71536665055736,0.5603756850203552,0.5187275296656881,0.3651186066364428,0.5632560371546598,122.301231,88.872831,84.407394,145.941707,86.893055
T100k.D2k.L50.P40.O20.C6.data,tk,0,4,0.3605566908740898,0.36493680944000045,0.37797726034486767,0.58732729730541,0.3459274967460671,106.352156,69.634476,67.665002,134.716516,60.847827
T100k.D2k.L50.P40.O30.C6.data,tk,0,4,0.6012296538855302,0.5986205734363418,0.3339729148889202,0.6117997127602116,0.5961490814848248,91.678207,69.794315,90.443688,69.070496,69.877229
T100k.D2k.L50.P50.O0.C6.data,tk,0,4,0.36376946004924315,0.5505347212673958,0.6430693442368773,0.7318014107738441,0.642546240691969,166.758155,133.076622,161.051295,193.501476,197.301853
T100k.D2k.L50.P50.O10.C6.data,tk,0,4,0.6580246838041587,0.6204330624726485,0.6818784296569543,0.4052290439786973,0.547809425475059,103.794486,60.300616,60.506188,81.078705,55.173009
T100k.D2k.L50.P50.O20.C6.data,tk,0,4,0.5601596585947364,0.578283428435432,0.5936913091351657,0.578271386055993,0.5156308513539042,55.711873,55.829381,56.371175,56.325986,130.823351
T100k.D2k.L50.P50.O30.C6.data,tk,0,4,0.5882870299683907,0.5496653256822495,0.6414584711844555,0.3774410407829641,0.6444472445864408,109.851623,88.806362,68.109905,68.532581,68.882027
