dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
T100k.D2k.L50.P20.O0.C6.data,w2v,50,-1,0.8972886950705715,0.9997566413817621,0.9997566413817622,0.9997566413817621,0.9997566413817622,0.9584709659108054,0.902558901741463,0.9997566413817621,0.9997566413817621,0.9253699278427167,0.9584867464186865,0.9997566413817622,0.9997566413817621,0.9997566413817621,0.9584895924382664,0.9997566413817621,0.8885505402734135,0.999756641381762,0.8955416930739786,0.9997566413817621,0.9716754059126934,0.999756641381762,0.9997566413817622,0.9384058225126598,0.9065183484774778,0.9019895780994377,0.9997566413817621,0.9017245586539709,0.9637835298572355,0.9069813656966624,0.125658,0.100056,0.09811,0.099117,0.098238,0.128215,0.126288,0.09837,0.097715,0.147032,0.135936,0.099122,0.09865,0.098782,0.123684,0.099378,0.230267,0.098845,0.25401,0.098284,0.20441,0.098887,0.098862,0.154763,0.115227,0.166609,0.098938,0.221211,0.15395,0.185613,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O0.C6.data,w2v,100,-1,0.9997566413817622,0.999756641381762,0.9997566413817622,0.9151058102084534,0.9997566413817622,0.9764306728108384,0.9997566413817625,0.9151132977476314,0.9997566413817621,0.9503977279860791,0.96379046987917,0.8995795916788403,0.9997566413817622,0.9997566413817622,0.9677816372694692,0.9025703714351455,0.8818822792052334,0.9997566413817622,0.8818828085112465,0.9997566413817625,0.9717182218971779,0.8973093196156955,0.9048057652753506,0.9253777841290101,0.9997566413817621,0.9304828323523074,0.9997566413817621,0.8877826964843629,0.9724637949588364,0.9013106162983597,0.149878,0.174084,0.174598,0.217133,0.174198,0.227271,0.175665,0.212817,0.174384,0.26726,0.230003,0.214202,0.174041,0.1789,0.228327,0.214526,0.484569,0.174198,0.379459,0.174741,0.28478,0.217292,0.203291,0.265132,0.174843,0.387243,0.174359,0.600745,0.239934,0.391685,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O0.C6.data,w2v,200,-1,0.9025564410159639,0.9997566413817622,0.9997566413817621,0.9997566413817621,0.9997566413817622,0.9584838816301161,0.9997566413817622,0.9997566413817621,0.9997566413817621,0.9376454674428567,0.9637786045237787,0.9997566413817622,0.9997566413817621,0.9997566413817622,0.9584851359951984,0.9997566413817622,0.9033758282684075,0.902556378063845,0.8751833957963548,0.902558901741463,0.9764334513293838,0.9997566413817622,0.9997566413817621,0.9333499112168254,0.8972901508829995,0.9053032252630269,0.8973049012040591,0.8844762046516474,0.9724579343582291,0.9153368682022163,0.33284,0.285647,0.287128,0.287322,0.293312,0.392408,0.287287,0.287255,0.286358,0.478192,0.366556,0.286758,0.287325,0.287134,0.367584,0.288149,0.463686,0.366844,0.503741,0.330547,0.360963,0.286023,0.287514,0.415738,0.334544,0.435744,0.350776,0.823826,0.383122,0.448533,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O0.C6.data,Glove,50,-1,0.999938282025073,0.999938282025073,0.9999382820250731,0.9999382820250731,0.9999382820250732,0.9638369074494665,0.999938282025073,0.9999382820250731,0.9999382820250731,0.9499275089079339,0.9638369074494665,0.9999382820250731,0.9999382820250731,0.999938282025073,0.9719911321379606,0.999938282025073,0.889135274985537,0.9999382820250731,0.8783204294641649,0.999938282025073,0.9638351878176297,0.999938282025073,0.9165017730025081,0.92540650279426,0.999938282025073,0.9079553989927865,0.999938282025073,0.8840030897157743,0.9586370810363907,0.93025789898933,0.082899,0.093292,0.092494,0.092243,0.092773,0.155541,0.092807,0.092688,0.092483,0.13167,0.137653,0.092619,0.091336,0.092898,0.127467,0.092779,0.186437,0.092207,0.205277,0.092413,0.11747,0.092904,0.11672,0.16079,0.092078,0.242139,0.091811,0.233134,0.166679,0.149604,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O0.C6.data,Glove,100,-1,0.9999382820250731,0.999938282025073,0.9999382820250731,0.9999382820250731,0.999938282025073,0.9638446342448163,0.9999382820250731,0.9999382820250731,0.999938282025073,0.9291934813021827,0.9638354009457508,0.9999382820250732,0.9999382820250732,0.999938282025073,0.9586316438836038,0.9999382820250731,0.8903027614403982,0.9999382820250731,0.89686428131125,0.9999382820250731,0.9638446342448165,0.999938282025073,0.9999382820250731,0.9291939534092271,0.9128877004020215,0.901074178291052,0.999938282025073,0.884838427986265,0.9586309820340088,0.9014199005201358,0.145136,0.157171,0.157134,0.157196,0.157771,0.352921,0.157508,0.157115,0.167861,0.230888,0.379029,0.15685,0.156314,0.156498,0.219231,0.155766,0.311005,0.157347,0.58119,0.155484,0.280965,0.156508,0.158296,0.249117,0.237832,0.324718,0.156229,0.67319,0.244545,0.378071,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O0.C6.data,Glove,200,-1,0.9999382820250731,0.9999382820250732,0.9999382820250731,0.999938282025073,0.999938282025073,0.9586307706111027,0.999938282025073,0.9999382820250731,0.9999382820250731,0.9421366314513647,0.9679569873822542,0.999938282025073,0.999938282025073,0.999938282025073,0.9586309820340088,0.9999382820250731,0.8891176603174419,0.9165014819852687,0.8820747851565581,0.999938282025073,0.963837275676131,0.9999382820250731,0.999938282025073,0.9371617124919599,0.9999382820250731,0.9090150705823805,0.9999382820250731,0.8861350098596953,0.9638373732151541,0.9111395659993863,0.261483,0.341616,0.277551,0.272062,0.272585,0.407603,0.271972,0.271335,0.275571,0.456006,0.415074,0.26919,0.272326,0.271814,0.477862,0.272311,0.785335,0.4277,0.577747,0.270799,0.36866,0.273141,0.272636,0.524194,0.279567,0.599264,0.278716,0.573046,0.381068,0.524869,6,6,6,6,6,7,6,6,6,8,7,6,6,6,7,6,10,6,10,6,7,6,6,8,6,9,6,10,7,9
T100k.D2k.L50.P20.O10.C6.data,w2v,50,-1,0.9997585236645914,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9729139212609713,0.9997585236645915,0.9579016529295006,0.9698624748298332,0.9997585236645915,0.9225358551893484,0.9245088685573091,0.9997585236645915,0.9114530470137139,0.9462681999259337,0.9997585236645915,0.9101601846481311,0.9997585236645916,0.9700300152502618,0.9997585236645915,0.9320558186312249,0.9997585236645915,0.9017856869604767,0.9997585236645915,0.9733300047740939,0.9997585236645915,0.9195267070155548,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.10506,0.099501,0.099169,0.098188,0.098336,0.131087,0.09779,0.120905,0.128193,0.098573,0.162766,0.162107,0.098272,0.164265,0.152842,0.097931,0.219781,0.098205,0.130857,0.099009,0.151181,0.097806,0.177034,0.098498,0.145238,0.098917,0.173146,0.09814,0.098056,0.098248,6,6,6,6,6,7,6,7,7,6,9,9,6,9,8,6,9,6,7,6,8,6,9,6,7,6,9,6,6,6
T100k.D2k.L50.P20.O10.C6.data,w2v,100,-1,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645916,0.9997585236645915,0.9729148284841466,0.9997585236645914,0.9700362121051216,0.9579116616461052,0.9997585236645914,0.9118198941377775,0.9032578341444365,0.9096043018571769,0.9154395139032595,0.932021353771305,0.9997585236645915,0.933134993625649,0.9997585236645915,0.9729143094222451,0.9997585236645915,0.9399939889607863,0.9997585236645915,0.9118201846068411,0.9997585236645916,0.9733332920186343,0.9997585236645914,0.902899895492632,0.8960093463922724,0.9997585236645915,0.9997585236645915,0.16556,0.174422,0.174347,0.17445,0.173411,0.221131,0.174031,0.227777,0.225638,0.174389,0.413119,0.305715,0.200069,0.316017,0.273708,0.174763,0.305456,0.174836,0.237646,0.1745,0.250469,0.173396,0.299316,0.173588,0.263758,0.1746,0.269749,0.215715,0.178,0.173991,6,6,6,6,6,7,6,7,7,6,9,9,6,9,8,6,9,6,7,6,8,6,9,6,7,6,9,6,6,6
T100k.D2k.L50.P20.O10.C6.data,w2v,200,-1,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.9729144210804611,0.9997585236645915,0.8782834052299918,0.9578998854147446,0.9997585236645916,0.9032573176231808,0.9191616624161757,0.9997585236645914,0.9191567116358965,0.9332240567658092,0.9997585236645915,0.9115179953379129,0.9997585236645916,0.9733329927507286,0.9096582516311619,0.9332152905592401,0.9997585236645916,0.9136398972311508,0.9997585236645915,0.9578983231489953,0.9997585236645915,0.9090204324347738,0.9997585236645915,0.9997585236645915,0.9997585236645915,0.286197,0.300368,0.300457,0.313365,0.299425,0.398016,0.298933,0.399252,0.391481,0.305486,0.512414,0.669307,0.299699,0.666191,0.41563,0.286683,0.810419,0.300373,0.489349,0.363763,0.413804,0.300468,0.480263,0.300139,0.384051,0.299537,0.542906,0.297841,0.304654,0.303923,6,6,6,6,6,7,6,7,7,6,9,9,6,9,8,6,9,6,7,6,8,6,9,6,7,6,9,6,6,6
T100k.D2k.L50.P20.O10.C6.data,Glove,50,-1,0.999818455765275,0.9998184557652751,0.9998184557652753,0.9998184557652751,0.8855038751663425,0.9579450140057802,0.9998184557652753,0.9733997122530129,0.9579412916170884,0.999818455765275,0.9029244382521292,0.9018365375004779,0.9998184557652751,0.924201278743819,0.9260614464520267,0.9998184557652751,0.9175677229828855,0.9998184557652753,0.9733995675803033,0.9998184557652751,0.926053953455957,0.999818455765275,0.9033404381353326,0.999818455765275,0.9729821924482942,0.9998184557652753,0.9083911174270628,0.999818455765275,0.999818455765275,0.9998184557652751,0.086058,0.092371,0.09341,0.093566,0.167487,0.132129,0.093569,0.117497,0.150219,0.093525,0.151637,0.160473,0.092521,0.140277,0.185373,0.096623,0.225226,0.092047,0.120957,0.093196,0.165522,0.092845,0.182956,0.09284,0.122699,0.092019,0.167557,0.093287,0.093512,0.093177,6,6,6,6,6,7,6,7,7,6,9,9,6,9,8,6,9,6,7,6,8,6,9,6,7,6,9,6,6,6
