dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30
adult.D97.N48842.C2.num,tk,0,16,0.09589851714373034,0.1008719739825388,0.09420130304134942,0.08457690428877591,0.09208240467910021,0.09055120937396582,0.0966257781346668,0.09755119265819576,0.0925075597786823,0.09633838953750976,0.09408642909478432,0.08062072404905538,0.08387294043013915,0.09716765040660139,0.10239305932860146,0.09013414697681647,0.09347460242816939,0.10903447638653153,0.10417469421849086,0.10091184513415467,0.09875305378761651,0.0992653686852142,0.09668736055537626,0.09377070971746705,0.09954762426435804,0.09699318796425435,0.0946308438953829,0.09163916703653853,0.0979853726713497,0.1019141730425479,11.881044,8.233747,7.010352,4.830014,4.768986,4.74384,5.859302,8.353297,5.92167,3.613196,9.445057,6.206307,5.058869,5.089191,8.993095,5.250457,6.353672,7.402291,4.818613,3.915134,9.675374,4.813009,4.801915,4.818246,8.323116,3.623538,6.00408,4.786746,8.308766,4.763449
anneal.D73.N898.C6.num,tk,0,16,0.27507476934591046,0.2660709689646234,0.1406493151733784,0.16447557312866487,0.26520624429887085,0.15985913911365549,0.2785482838632437,0.25438788806356605,0.27123733093546193,0.16483496925494553,0.24722766866521417,0.23547653053356885,0.3065998584268515,0.24248303309580882,0.31760487480816213,0.2712592615669106,0.2484363909446666,0.29536113218405474,0.23550435941961578,0.18638107063088105,0.2664986930755373,0.23537940227030996,0.229305386485168,0.3022876576392674,0.1980797782150366,0.1837638141874387,0.2591882915538914,0.2675689262444147,0.2833765396555802,0.26765546080581815,0.087408,0.086205,0.083947,0.068244,0.087011,0.069539,0.086963,0.083553,0.118596,0.068976,0.069026,0.068659,0.100402,0.104082,0.10364,0.118263,0.051756,0.086687,0.069421,0.087039,0.101187,0.051577,0.070051,0.069101,0.068818,0.084221,0.069188,0.086514,0.070024,0.085261
breast.D20.N699.C2.num,tk,0,16,0.3791154474543464,0.33959114273518337,0.3739224137784701,0.3428372359532269,0.4126853886568481,0.3628864340394734,0.3554436948759859,0.33713558092661394,0.34864932153976264,0.36061720262251923,0.34851799956874147,0.36282867830897075,0.39424516267143894,0.3642415584661131,0.39727822623305337,0.3308137278554958,0.3573637342215816,0.3747309549597637,0.3428381281234415,0.36340498627668577,0.3763994194508025,0.36856393573643886,0.34332792778813515,0.3376022687870594,0.4132888404221158,0.37221251518636733,0.3932709618095463,0.3996230419142446,0.35811353531692763,0.3443132151505282,0.022161,0.041151,0.021164,0.031743,0.03532,0.032364,0.031758,0.02114,0.031476,0.03264,0.042505,0.021169,0.079842,0.032186,0.0432,0.041978,0.031729,0.043048,0.020819,0.021281,0.035613,0.03256,0.042086,0.021442,0.022255,0.021309,0.021666,0.022043,0.075109,0.035206
chessKRvK.D58.N28056.C18.num,tk,0,16,0.05260307476120486,0.0680572672712855,0.0702439816461402,0.05856074398820345,0.07634764237790824,0.06456899186938318,0.0661094108789195,0.050462521022673616,0.05614510120200848,0.07554871874096734,0.04513578155375907,0.06591159977456394,0.06274404859826262,0.061364619278558484,0.0560520172228326,0.06679365464023322,0.07340035393220831,0.06668450730790054,0.07596082500832958,0.06542972643627364,0.03974718022466575,0.07034434443547717,0.06891947747524213,0.07487607251042774,0.06948758390561499,0.07438778116288583,0.06383972423075357,0.05372773407616074,0.07348604265000883,0.07875137467541701,1.567746,1.554113,1.548727,1.544054,1.772991,1.561601,1.807917,0.527385,1.551259,2.084878,1.555045,1.025905,1.047271,1.549274,2.074058,3.082355,0.701081,2.030943,2.578217,1.546849,3.114686,2.306833,1.538814,1.533114,1.54009,1.047585,1.80986,1.04187,1.543277,2.565987
connect4.D129.N67557.C3.num,tk,0,16,0.007776308085805084,0.00866866403390977,0.00988772050181962,0.008467543242367296,0.00889546205939605,0.007340265290354877,0.008979548747256873,0.009337494834772088,0.009076357809353695,0.005997135925785834,0.006680595374321507,0.008821473236943597,0.006988655610334216,0.006964467933521547,0.009146366381015337,0.008451982217473763,0.008529238254073822,0.006102829577709273,0.012823476503037806,0.014293070290221043,0.007065482303892397,0.007382728490291685,0.010416067604932387,0.004787146893266075,0.0108326496925322,0.009195347918128826,0.00837089291355184,0.010594614916959736,0.009891219440493775,0.004447428780143969,10.565409,19.033726,17.854449,14.834998,9.296506,15.166713,18.035088,15.775638,11.949842,15.162,17.954209,11.628273,17.231632,14.438712,9.251803,14.604063,23.813211,7.969245,17.381203,12.580132,22.744611,15.117959,22.460282,19.280547,15.861145,15.765584,11.074574,11.244221,17.177445,16.725239
heart.D52.N303.C5.num,tk,0,16,0.17704198587849856,0.18820456649753875,0.19954267439446802,0.18908130571689383,0.17778976812210612,0.16960089089143182,0.1997748632730613,0.1743310814066899,0.19506571921679886,0.17197789542806197,0.19341834250182258,0.1792831503585753,0.19532171104808846,0.16575830416163198,0.19342225317453418,0.18316318336687565,0.19875302310997114,0.17605502346069174,0.1802702592475057,0.16053587758916557,0.17781522561864666,0.20580974643622177,0.1871638489444072,0.1534581855508417,0.1686840321283696,0.1956231872136934,0.1693048352476095,0.18462958277294397,0.17967432756492105,0.1914243778252506,0.040718,0.048799,0.05708,0.041045,0.040883,0.056804,0.040451,0.048557,0.090124,0.056447,0.056518,0.049266,0.041163,0.064911,0.040542,0.040257,0.05636,0.040348,0.05686,0.040896,0.032253,0.049049,0.080376,0.06505,0.040339,0.03214,0.048498,0.032967,0.048784,0.049104
ionosphere.D157.N351.C2.num,tk,0,16,0.2257588925457291,0.2127823119044643,0.23613281933850563,0.22791081720009634,0.2125454312417647,0.22191591843429775,0.21753292684865622,0.20836365537133805,0.2150402758857451,0.22256018905493552,0.24468944130934797,0.2267689235283978,0.23091791341943346,0.20972619165358766,0.20154307007334513,0.23166625263877583,0.22480421240397266,0.22604721098225167,0.21453010769669234,0.22341597349904735,0.21286136713852086,0.23979846798101662,0.22650352229381399,0.2281681076025164,0.2246170796621191,0.23073807709409794,0.21472573955765617,0.22770244677897483,0.2174256365465275,0.2250024598164999,0.094855,0.176225,0.064177,0.104306,0.073382,0.08767,0.083915,0.165701,0.114994,0.095811,0.063919,0.08379,0.087642,0.093982,0.092954,0.095076,0.084069,0.117952,0.106865,0.086588,0.093138,0.10515,0.094196,0.124369,0.106041,0.073283,0.137859,0.073989,0.093355,0.062197
iris.D19.N150.C3.num,tk,0,16,0.5955565884485444,0.5865191398093398,0.6136361137268754,0.6065059035241452,0.5747912828456825,0.6312669531188807,0.6162253341852818,0.6317563869276447,0.612206293476909,0.6026288653107555,0.5988611961314824,0.6150911961357537,0.591554706572763,0.6315053952521618,0.5893113810775779,0.5681715457111809,0.619064341545708,0.6004399363418783,0.6129679677849993,0.5604735112892905,0.5785594311234074,0.58442476972302,0.6074550833223384,0.5888093107711235,0.6113003131888092,0.6335861699698985,0.5884314255328367,0.5704740133686733,0.5852933081668744,0.5696074488881963,0.006617,0.008757,0.004469,0.006531,0.006599,0.006519,0.006517,0.006447,0.006532,0.006656,0.010868,0.00662,0.008384,0.00444,0.006597,0.00856,0.013111,0.004283,0.004452,0.008723,0.006544,0.01304,0.011043,0.015531,0.010736,0.006634,0.006504,0.006689,0.01084,0.008927
led7.D24.N3200.C10.num,tk,0,16,0.5720308413148351,0.5294879219481883,0.5278140686650616,0.5277345850816947,0.5134212786915896,0.5325225103257505,0.5076010442767318,0.5228277962637937,0.5176444276843091,0.5401874672938113,0.5423966366397361,0.4529803209965013,0.48539170511644053,0.5386477100448733,0.5016378165338363,0.5665991498222303,0.5137648658029058,0.4845353147325131,0.5196260190793094,0.4720560672015554,0.5440482589323697,0.5665146115157045,0.49163020905449084,0.5594288632087483,0.5280057076843259,0.5268670851745033,0.5316949432211229,0.5688178976278209,0.4976007521546213,0.5230527596141316,0.264164,0.11826,0.152307,0.119555,0.199211,0.117813,0.203309,0.216849,0.148909,0.165592,0.153022,0.258199,0.117146,0.201723,0.217962,0.220561,0.149534,0.169213,0.317657,0.0994,0.219185,0.100332,0.168874,0.20295,0.168568,0.148902,0.216995,0.217676,0.100363,0.100932
letRecog.D106.N20000.C26.num,tk,0,16,0.16495078683548528,0.1415403086115962,0.17532830888005804,0.20022804563976193,0.14048035908989795,0.1895484808007244,0.18916788341502108,0.1411936502256537,0.16946784778940652,0.16762792351726374,0.16760538869997538,0.15549664882126882,0.19247744524142427,0.18424309808129394,0.1805258079832833,0.14952679053862333,0.162358130935572,0.169579769967246,0.18357656249265164,0.14837504099898738,0.1765265241514957,0.1584095736735972,0.1834495782476339,0.1741064323497532,0.16068105560452034,0.16255684807929782,0.1600667039200936,0.17664571029939277,0.1579032342837822,0.188196337439399,3.027756,3.526415,2.533871,3.876922,5.015215,3.228748,4.068241,3.597388,3.079763,3.031724,5.051099,2.570166,3.055878,3.690127,5.93402,3.527243,3.030319,5.549597,3.042527,3.591649,4.901319,2.895723,5.257816,8.142752,4.374308,4.088079,2.981257,2.903516,4.524266,4.952553
