dataset,model,emb_dim,nclusters,NMI_01,NMI_02,NMI_03,NMI_04,NMI_05,NMI_06,NMI_07,NMI_08,NMI_09,NMI_10,NMI_11,NMI_12,NMI_13,NMI_14,NMI_15,NMI_16,NMI_17,NMI_18,NMI_19,NMI_20,NMI_21,NMI_22,NMI_23,NMI_24,NMI_25,NMI_26,NMI_27,NMI_28,NMI_29,NMI_30,RT_01,RT_02,RT_03,RT_04,RT_05,RT_06,RT_07,RT_08,RT_09,RT_10,RT_11,RT_12,RT_13,RT_14,RT_15,RT_16,RT_17,RT_18,RT_19,RT_20,RT_21,RT_22,RT_23,RT_24,RT_25,RT_26,RT_27,RT_28,RT_29,RT_30,K_01,K_02,K_03,K_04,K_05,K_06,K_07,K_08,K_09,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30
T100k.D2k.L50.P20.O20.C6.data,TX,0,0,0.9361628581416052,0.9714946280108357,0.964502173880007,0.932112585252199,0.9012830631561441,0.9995580687067591,0.9244547319666047,0.9997499088349415,0.9996841092998531,0.9038011757023723,0.9711095929631921,0.971304053702015,0.9997462465656647,0.9820327063224418,0.8853928781164431,0.9253718697855045,0.9996933594594765,0.9413807072030673,0.9384493518297781,0.9703838583377636,0.9699302683581482,0.9998181853821048,0.9748166344950998,0.9670793182586711,0.9999376742366929,0.9081018253873947,0.9996840332606999,0.9267114380015983,0.9238620692308213,0.9805160848256295,3.600033,2.622525,2.676531,2.703544,3.244013,3.183304,3.401012,2.567082,2.366194,3.039763,2.62881,2.624658,3.207133,3.276993,3.291322,3.013987,2.698636,2.561586,3.024032,2.555457,2.96087,2.43283,2.667225,2.672478,2.362243,2.683356,2.507797,3.007616,3.050363,2.703823,11,7,9,9,11,6,9,6,6,11,8,8,6,7,13,10,6,8,10,8,8,6,7,8,6,10,6,9,10,7
T100k.D2k.L50.P20.O30.C6.data,TX,0,0,0.9999386416867087,0.9248811986534883,0.9998166480770344,0.9997558876753735,0.9831661659489149,0.9999386416867088,0.9347797203474468,0.9998774084137289,0.972897263569403,0.9593053529586859,0.9489649735414857,0.9998779023019503,1.0,0.9464248650556657,1.0000000000000002,0.9685113692479831,1.0000000000000002,0.9998782727299239,0.9724182745115473,0.9999386416867087,0.9999386416374783,0.9999397332175256,1.0000000000000002,0.927259795502427,0.8901358639830658,0.9742980484720771,0.9999390123203177,0.9596784614043231,0.9999386416867087,0.9998777791908806,2.36152,3.250748,2.637592,2.626254,2.685014,3.112497,2.902832,3.012286,2.795426,2.98649,3.308843,3.035951,2.522511,2.941934,3.019951,2.456424,2.701683,3.020275,2.776556,2.46728,2.64023,2.733228,2.572194,3.870542,3.651888,2.830257,2.742883,2.856669,2.622114,2.4415,6,10,6,6,7,6,9,6,7,8,9,6,6,8,6,7,6,6,7,6,6,6,6,10,12,7,6,8,6,6
T100k.D2k.L50.P30.O0.C6.data,TX,0,0,0.9722140410918788,0.9349372057210159,0.9987796385172658,0.9741923785212016,0.9692903080802444,0.9017023862977948,0.9982791541702483,0.9979788600207797,0.9709573987042702,0.9500625620596425,0.9967796374779652,0.9963625573120085,0.9967695198953603,0.9978752368618475,0.9987012356593165,0.9567390223635878,0.9569481246683879,0.9987762552781191,0.9971871991502819,0.9572906947925993,0.9107309736701434,0.9984811231421603,0.9523433477401283,0.9981762542866089,0.9655714129209506,0.9980445052238703,0.9708746840290438,0.9592890775317339,0.9982256653969406,0.9977887716809086,3.042128,4.422549,3.069081,3.343263,3.748786,4.377538,3.251661,3.39687,3.30324,3.645622,3.039168,3.121714,3.022358,2.751183,3.669386,3.726059,3.638787,3.431118,3.130096,4.673623,3.536989,3.29142,3.226365,3.268666,3.520409,2.715761,3.405897,3.421982,3.522437,3.360946,7,9,6,7,8,11,6,6,7,8,6,6,6,6,6,8,8,6,6,8,10,6,8,6,7,6,7,8,6,6
T100k.D2k.L50.P30.O10.C6.data,TX,0,0,0.9992921937694882,0.9994642693539587,0.9992920616566716,0.9995650263165943,0.9078413254697482,0.999460131892976,0.9996351402852293,0.9676256215702872,0.9995315965412026,0.9993964589083933,0.9995042944944871,0.9505262812979406,0.999503791965623,0.9578060824682602,0.9047020090048128,0.9993389063958049,0.9993260317093021,0.9992920063361819,0.9710204833358319,0.9336457542879276,0.9991067991656627,0.9510871590197955,0.9994522168005608,0.9995738954371476,0.9695121173477037,0.9995204721122202,0.999566733407979,0.8999425663852038,0.9995741882668607,0.9600815220450258,2.767943,2.667095,2.68509,3.503863,3.321324,2.633321,2.865761,2.952934,2.627751,2.83478,2.597547,3.278701,2.645704,3.454169,3.246663,2.504022,2.91397,2.742485,3.621537,3.322286,2.908525,2.879418,2.504078,2.408594,2.943264,2.774297,2.924781,3.857417,3.556187,2.893859,6,6,6,6,10,6,6,7,6,6,6,8,6,8,11,6,6,6,7,9,6,8,6,6,7,6,6,12,6,8
T100k.D2k.L50.P30.O20.C6.data,TX,0,0,0.9422461646990911,0.9996214031598677,0.9993884808829893,0.9529224792228168,0.9995590571522347,0.9445876829584784,0.9592314412931526,0.9995756005853257,0.9593504815991338,0.9408355868237126,0.9677975659686379,0.9350798448050308,0.999684267274513,0.9994414577769768,0.9997481718712545,0.9570154572544147,0.9398439094980822,0.999585683842432,0.9997476604908496,0.9350016730607519,0.9314337049465218,0.9388976058568892,0.9480339957719979,0.9995753932207235,0.9381191499647443,0.999576615086772,0.999323288856486,0.9997549425728061,0.9993076874065941,0.9997482739252193,3.226187,3.638768,3.345104,2.795017,3.723432,2.90451,2.875891,2.692232,2.828929,3.148808,2.751645,2.844018,2.870585,2.370686,2.697882,2.765463,3.597958,2.48388,2.478337,3.194367,3.115145,3.557962,3.095093,2.520339,3.079408,2.653726,2.773782,2.734209,2.711199,2.871318,9,6,6,8,6,9,8,6,8,9,7,9,6,6,6,8,9,6,6,10,10,10,8,6,9,6,6,6,6,6
T100k.D2k.L50.P30.O30.C6.data,TX,0,0,0.9994853619026725,0.9727846452879657,0.9992281857582489,0.9419341104725572,0.9741046666607103,0.9532960819776922,0.9135103139629136,0.9995898263357441,0.9351569159594322,0.9160078367858147,0.9994235849367805,0.9993645401013957,0.9994213145908679,0.9995873994616066,0.9717459539509274,0.9873234937470711,0.9503125342796458,0.9994752084901372,0.9996454536961582,0.9619697702142853,0.9690396994924277,0.9997647436797463,0.9992581470639852,0.9995360314392926,0.999310966220581,0.8972078250663884,0.9685951384698287,0.9994570335134418,0.9993785374446227,0.9992408327700447,2.82047,2.511869,2.5838,3.189435,3.388231,2.826927,3.056876,3.311927,3.086554,3.362138,2.491204,2.801478,2.953105,2.74656,2.806314,3.295105,3.054342,2.372421,2.72607,3.451892,3.275735,2.944766,2.678074,2.794399,3.226505,3.867124,2.701296,2.778102,2.599107,2.93523,6,7,6,9,7,8,10,6,10,11,6,6,6,6,7,7,9,6,6,8,8,6,6,6,6,13,7,6,6,6
T100k.D2k.L50.P40.O0.C6.data,TX,0,0,0.9942784910476351,0.9913570865829419,0.9913588057423678,0.9341831910106432,0.989458002913856,0.9942496514681589,0.9925010455793697,0.9929550966228258,0.9927875133237835,0.9938375413499407,0.9614600678861964,0.9943967883494628,0.9929081975405765,0.9932267882409873,0.994399438835242,0.9551885363216238,0.9903139993490909,0.99315426872136,0.9623561820959596,0.9619769697970626,0.9937209794838138,0.9956033357255126,0.9931205050993895,0.9922068635621754,0.9953920497871593,0.9919248143353625,0.9915393315559097,0.9928209755415554,0.9622602031223148,0.9937301814300243,3.288504,3.061585,3.093303,3.643139,3.24789,3.303204,3.019491,3.258296,2.994994,4.007638,3.49987,2.937328,3.391092,3.711594,3.301906,3.316537,3.380224,2.970494,3.779251,3.133802,3.000776,4.531195,2.615967,3.477164,3.19217,3.658181,3.057098,2.806878,2.955076,3.255477,6,6,6,8,6,6,6,6,6,6,7,6,6,6,6,8,6,6,7,7,6,6,6,6,6,6,6,6,7,6
T100k.D2k.L50.P40.O10.C6.data,TX,0,0,0.992283423689748,0.9911923471010815,0.9931479793273812,0.9618995245900223,0.9912128384398095,0.9905751130990429,0.9878456179213364,0.9232391682070256,0.9856568950786372,0.9896088484658896,0.9915975776863242,0.9916030231826676,0.9908421729527729,0.8125627537822918,0.9312823035008553,0.9569736006367977,0.9889718768648292,0.9244183474980343,0.9564372490971664,0.9869029410503113,0.9559749249031418,0.9904192867495308,0.9889431015985155,0.9631865552457635,0.9900468093497303,0.990954534695882,0.9915536649574065,0.920482110634952,0.9895179771552652,0.9920294500058856,3.580781,3.623314,3.653372,3.926909,3.630484,3.145132,3.428998,3.920848,3.751018,3.258353,3.520569,3.300061,3.588746,3.415975,3.549311,4.441004,3.377164,5.088587,4.350176,3.467948,3.65904,3.61698,3.201371,3.856673,3.364097,3.719525,3.586275,4.081307,3.358897,3.690134,6,6,6,7,6,6,6,8,6,6,6,6,6,5,8,7,6,8,7,6,7,6,6,7,6,6,6,9,6,6
T100k.D2k.L50.P40.O20.C6.data,TX,0,0,0.9965706425555785,0.9984241600532309,0.9979812876837074,0.9782073608425486,0.9986163702700137,0.9730308390614191,0.9516179796995761,0.9505688322337186,0.9163711854497967,0.9984801005382293,0.9702511459461328,0.9967434435591375,0.9688399101782237,0.9986915967728766,0.9981559584166277,0.9984431745605357,0.9674611381310976,0.9498154345267331,0.998640443033028,0.9528194071980475,0.939959709102646,0.9683795188958002,0.9983867129020524,0.9986749927947361,0.9982185336374652,0.9655804777081752,0.9471872170805535,0.973677110109287,0.9532546613411373,0.9984964547162184,3.081634,3.092772,3.265728,3.043296,3.138189,3.184118,3.048093,3.186804,3.38275,3.199117,3.469837,3.256865,3.422101,3.445916,3.097573,2.646331,2.849891,3.080447,2.632308,3.577908,4.00849,2.924057,3.095403,2.811612,2.764475,2.948875,3.362146,3.2703,2.963077,3.514865,6,6,6,7,6,7,8,8,9,6,7,6,7,6,6,6,7,8,6,8,9,7,6,6,6,7,8,7,8,6
T100k.D2k.L50.P40.O30.C6.data,TX,0,0,0.9403179972337173,0.9530486259642464,0.9159840977971816,0.9991371708671503,0.9986117641268771,0.9407424190750713,0.9990924906253719,0.997584438137768,0.9988612250101172,0.9988708206588788,0.9984493885683331,0.998451089815827,0.9984457645335534,0.9987827775347443,0.9987611880627472,0.9980664886666757,0.9378463714527455,0.974737669040953,0.9985969851132475,0.9987804817131675,0.9982808595435035,0.9993136124697685,0.9992105593247249,0.9739304251890895,0.9990320585288684,0.9700920406105644,0.9985147514807923,0.9987890597579328,0.9982449458875329,0.9983830064545928,3.481923,3.386813,3.634915,3.105265,2.843611,3.573064,3.121486,3.030076,3.036255,3.200016,2.806015,2.945132,3.095024,2.889614,3.182867,3.371443,3.518176,3.194219,3.41181,2.865307,3.279326,3.086734,3.200816,3.050524,3.49632,3.710367,3.19243,2.764505,2.767847,3.062241,8,8,10,6,6,9,6,6,6,6,6,6,6,6,6,6,9,7,6,6,6,6,6,7,6,7,6,6,6,6
T100k.D2k.L50.P50.O0.C6.data,TX,0,0,0.9622828820825888,0.9713918798862649,0.9303475722241026,0.9230455819534715,0.9050411781677349,0.9603043248475617,0.8057387544176036,0.9670595179885626,0.758831113244081,0.9261744434649363,0.9615098237486122,0.9663801884807612,0.9713322640885599,0.9600635017123482,0.966798914746994,0.9619018142182487,0.9252607746090733,0.9241125213943915,0.9722508147296578,0.9610322626973784,0.9656562965879769,0.8987368691131898,0.811260931246505,0.8005563621535874,0.9601280591722379,0.9663003958805734,0.9600294316242485,0.9694162374525914,0.9573489564650752,0.9654199525271738,3.53054,3.747465,4.322231,4.127901,4.97902,4.406078,3.33822,3.566817,3.99698,4.014369,3.846832,3.512278,3.474854,4.005253,3.918253,3.380027,3.602453,4.440268,3.752878,3.70053,4.26001,4.237442,2.923437,3.661412,3.795906,3.941395,4.071449,3.488062,3.587375,4.098179,6,6,7,7,8,6,5,6,5,7,6,6,6,6,6,6,7,8,6,6,6,8,5,5,6,6,6,6,6,6
T100k.D2k.L50.P50.O10.C6.data,TX,0,0,0.953240868819864,0.9604834974891334,0.9845024345677247,0.9867966625269552,0.9885784524432241,0.9880723223713774,0.9868286123169093,0.8726390364833563,0.9582580744750999,0.9883554279818038,0.9859704771137673,0.9841810737817622,0.9875480059125957,0.9863338692487092,0.9867489631899398,0.9401182609778616,0.9447522316192629,0.9877955079478798,0.9571127219009449,0.9854310874471441,0.986837171542374,0.9855234464183016,0.9767103629972722,0.9861548546371053,0.9826174692729466,0.9876667447313994,0.9832362212030152,0.9908456478706119,0.9851773103173098,0.9885771371744477,3.808976,3.46109,3.621693,2.782551,3.189026,3.100672,3.195709,3.229126,3.50271,3.931613,2.797197,3.24093,2.702935,2.703951,3.109598,3.402921,3.515896,2.338351,3.79502,2.960449,3.54083,3.372507,3.052861,2.975807,2.870073,3.089803,3.520936,3.367106,3.399082,3.320096,7,7,6,6,6,6,6,5,7,6,6,6,6,6,6,6,7,6,7,6,6,6,6,6,6,6,6,6,6,6
T100k.D2k.L50.P50.O20.C6.data,TX,0,0,0.9906509453851372,0.9623571231471995,0.991570097275869,0.9253840055242557,0.991568691648304,0.9902366954457333,0.989512023268212,0.9913086042177013,0.8247637202655652,0.9936486128003061,0.9896112198300487,0.9924964125575944,0.9925296475835014,0.9924251908079728,0.9918033819796657,0.980932892348531,0.9931264099993335,0.9523116819246588,0.9935894625799839,0.9937456972565386,0.9379463184870586,0.9905728932006314,0.9900241799923603,0.9918596523766103,0.9916153391560708,0.9911345132463182,0.959861193367257,0.9910715255701159,0.9838169990136506,0.9903824384583859,3.046402,3.204222,3.404007,3.553763,3.047878,3.530717,3.282717,3.851355,3.081631,2.902164,3.418817,2.836807,3.383589,2.889789,3.074271,2.689568,2.958414,3.082278,3.300124,2.932924,3.349203,3.512788,3.336577,3.188949,3.375553,3.200609,3.401848,3.087967,3.818727,3.114375,6,7,6,8,6,6,6,6,5,6,6,6,6,6,6,6,6,7,6,6,8,6,6,6,6,6,7,6,6,6
T100k.D2k.L50.P50.O30.C6.data,TX,0,0,0.9937739182880946,0.9915602580484454,0.7913583406231924,0.9938386899215798,0.9924864208764747,0.9907131110568324,0.9688908452971855,0.9916015056863664,0.9926238592363491,0.9942601966602516,0.9918300767344249,0.9934432473347183,0.9682921241104431,0.9557435482770952,0.9925309093644412,0.9926052930492824,0.9944296215549215,0.9570518104209681,0.9605013679848846,0.9919834054847659,0.9095624650666101,0.9910206937818175,0.9648493897606921,0.9913555094825823,0.993298379235633,0.9941395567445078,0.9905468287646635,0.9888148341208064,0.9295178437180517,0.9754917691543296,3.120069,3.414074,3.36306,2.993738,3.729305,3.406754,3.111123,3.343361,3.108364,3.417253,3.693428,3.03641,3.438534,3.517334,3.049683,4.188355,3.055367,3.26985,3.490995,3.432584,3.668363,3.244063,3.736815,3.21651,3.09899,3.199369,2.811091,3.220017,3.975663,3.559949,6,6,5,6,6,6,6,6,6,6,6,6,7,7,6,6,6,7,7,6,9,6,7,6,6,6,6,6,8,7
