dataset,model,dim,exp,acc
adult,w2v,50,8,0.8523541453428863
adult,Glove,50,8,0.8503070624360286
adult,w2v,50,8,0.8503070624360286
adult,Glove,50,8,0.8467246673490276
adult,w2v,50,8,0.8451893551688844
adult,Glove,50,8,0.8377686796315251
adult,w2v,50,8,0.8471973381110827
adult,Glove,50,8,0.8479651906833888
adult,w2v,50,8,0.840542615817763
adult,Glove,50,8,0.8374712055285385
adult,w2v,50,8,0.8464294855387765
adult,Glove,50,8,0.8431021243921167
adult,w2v,50,8,0.8594829792679806
adult,Glove,50,8,0.8525723061172255
adult,w2v,50,8,0.8479651906833888
adult,Glove,50,8,0.8400307141028922
adult,w2v,50,8,0.8428461735346814
adult,Glove,50,8,0.8451497312515996
adult,w2v,50,8,0.837727156385974
adult,Glove,50,8,0.83849500895828
adult,w2v,50,9,0.8510747185261003
adult,Glove,50,9,0.8462128966223132
adult,w2v,50,9,0.8418628454452405
adult,Glove,50,9,0.8418628454452405
adult,w2v,50,9,0.84007164790174
adult,Glove,50,9,0.8441658137154555
adult,w2v,50,9,0.8236498592270284
adult,Glove,50,9,0.8341438443818787
adult,w2v,50,9,0.8290248272331713
adult,Glove,50,9,0.8448937803941643
adult,w2v,50,9,0.8456616329664705
adult,Glove,50,9,0.849500895828001
adult,w2v,50,9,0.8428461735346814
adult,Glove,50,9,0.849500895828001
adult,w2v,50,9,0.8448937803941643
adult,Glove,50,9,0.8482211415408242
adult,w2v,50,9,0.8280010238034298
adult,Glove,50,9,0.8464294855387765
adult,w2v,50,9,0.8226260557972869
adult,Glove,50,9,0.8374712055285385
adult,w2v,100,0,0.8382804503582395
adult,Glove,100,0,0.8405834186284544
adult,w2v,100,0,0.8556806550665302
adult,Glove,100,0,0.8446775844421699
adult,w2v,100,0,0.8311156601842374
adult,Glove,100,0,0.8405834186284544
adult,w2v,100,0,0.8505246992577425
adult,Glove,100,0,0.83849500895828
adult,w2v,100,0,0.8418223701049399
adult,Glove,100,0,0.8372152546711031
adult,w2v,100,0,0.8487330432556949
adult,Glove,100,0,0.8482211415408242
adult,w2v,100,0,0.8433580752495521
adult,Glove,100,0,0.8308164832352188
adult,w2v,100,0,0.8441259278218582
adult,Glove,100,0,0.8343997952393141
adult,w2v,100,0,0.8402866649603277
