adult.dat
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;360;0.7023987802563048;134;0.8533540020159639;345;0.6984609187086656;13;2
4;443;0.7022820003874388;197;0.7871109250592326;418;0.7014500809483329;9;2
4;606;0.6273020063209134;168;0.7449758290682162;515;0.6201231651621694;13;7
4;290;0.7601027138833887;133;0.8280277317353342;284;0.7549080892226104;7;1
4;446;0.6502964641800775;270;0.7372444421740565;423;0.6248345789517028;12;4
chessBig.dat
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;669;0.8663251579911587;294;0.8626161778246598;445;0.8444382984740328;6;12
4;475;0.8372283654802505;177;0.7826397471849057;177;0.7826397471849057;0;4
4;471;0.8814178988455409;222;0.8560629780689637;264;0.8514805185206856;8;22
4;439;0.8992348168531827;190;0.9227416254472856;341;0.8954469683027566;13;9
4;513;0.9050933442298016;373;0.9267846375631885;494;0.9046151976434483;15;5
connect.dat
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;2806;0.2008707211243486;1509;0.1432239430490818;1509;0.1432239430490818;0;3
4;2942;0.18802448915542452;1461;0.14165189916843093;1461;0.14165189916843093;0;5
4;3055;0.19424199406222978;1467;0.15583122785568523;1467;0.15583122785568523;0;3
4;2652;0.16082887328513043;1439;0.13451306604701482;1439;0.13451306604701482;0;2
4;2983;0.19094861911508185;1188;0.1377881681220459;1188;0.1377881681220459;0;4
letrecog.dat
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;1411;0.6971929004719463;701;0.7931628156301742;1359;0.6993071576519426;8;3
4;1159;0.60987753328143;389;0.6998981022796139;972;0.6053504269937616;10;3
4;1218;0.7065640954228873;657;0.7995936238159346;1156;0.7045652836875778;13;3
4;1147;0.6557694666781868;334;0.7279616244681844;1119;0.6562584269729379;6;2
4;1256;0.6874515897452927;478;0.7825982135761578;1243;0.6850159197245136;17;1
pendigits.dat
clusters;naiveCodes;naiveRatio;naivePlusCodes;naivePlusRatio;informedCodes;informedRatio;informedAccepted;informedRejected
4;1015;0.730976865418793;236;0.8293440223696322;891;0.7300223764868584;47;10
4;915;0.7815298965176957;138;0.9339550756319391;797;0.7779811748443483;50;12
4;882;0.7968543467977915;187;0.9132440829517224;787;0.793455435830511;40;10
4;1261;0.7230992637390656;201;0.8367910265914068;1146;0.7199666932124658;44;19
4;916;0.7571945015932399;149;0.8938260301994827;833;0.7561253132145352;56;8
